姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
拉克希米·米塔尔,先生,73,印度-拉贾斯坦-萨杜尔普尔, ,安赛乐米塔尔,英国-伦敦,UK-London,金属与矿产,77,-17,1350.0,-20%
李蔡美灵,先生,未知,中国-香港,,李锦记,中国-香港,China-Hong Kong,食品加工,77,16,1350.0,5%
吕向阳,先生,60,中国-安徽-芜湖, ,融捷,中国-广州,China-Guangzhou,投资,77,9,1350.0,0%
雷伊·达里奥,先生,74,美国-纽约州-纽约州-纽约州,硕士,桥水基金,美国-格林尼治,USA-Greenwich,资产管理,77,0,1350.0,-5%
斯瑞钱德·帕玛兰德·欣杜贾,先生,88,, ,Hinduja,英国-伦敦,UK-London,汽车,77,-10,1350.0,-13%
王传福,先生,57,中国-安徽-芜湖,本科,比亚迪,中国-深圳,China-Shenzhen,汽车、充电电池,77,-4,1350.0,-9%
阿利舍尔·乌斯马诺夫,先生,70,乌兹别克斯坦-丘斯特, ,Megafon,俄罗斯-莫斯科,Russia-Moscow,金属与矿产,85,1,1300.0,-5%
埃里克·施密特,先生,68,,本科,Alphabet,美国-阿瑟顿,USA-Atherton,媒体,85,-37,1300.0,-30%
吉安路吉·阿蓬特,先生,83,意大利-索伦托-索伦托, ,Mediterranean Shipping,瑞士-日内瓦,Switzerland-Geneva,海运,85,64,1300.0,36%
郑家纯,先生,未知,中国-香港-香港, ,周大福,中国-香港,China-Hong Kong,房地产,85,-25,1300.0,-24%
魏建军,先生,59,中国-河北-保定, ,长城,中国-保定,China-Baoding,汽车,85,-13,1300.0,-17%
阿比盖尔·约翰逊,女士,62,美国-波士顿,硕士,富达投资,美国-米尔顿,USA-Milton,资产管理,90,30,1200.0,13%
安德鲁·弗里斯特,先生,未知,,本科,福蒂斯丘金属集团,澳大利亚-珀斯,Australia-Perth,金属与矿产,90,78,1200.0,38%
季姆琴科,先生,71,亚美尼亚-希拉克-久姆里,本科,Novatek,瑞士-日内瓦,Russia-Moscow,贸易,90,78,1200.0,38%
黄世霖,先生,56,中国-福建-宁德,本科,宁德时代,中国-宁德,China-Ningde,锂电池,90,-27,1200.0,-25%
小约翰·梅纳德,先生,83,,本科,Menards,美国-欧克莱尔,USA-Eau Claire,多品牌零售,90,42,1200.0,20%
豪尔赫·保罗·雷曼,先生,未知,巴西-里约热内卢-里约热内卢,本科,3G Capital,瑞士-苏黎世,Switzerland-Zurich,投资,90,3,1200.0,-5%
卢卡斯·沃尔顿,先生,未知,, ,沃尔玛,美国-杰克逊,USA-Jackson,多品牌零售,90,3,1200.0,-5%
庞康,先生,67,中国-广东-佛山,本科,海天味业,中国-佛山,China-Foshan,调味品,90,-23,1200.0,-22%
瓦吉特·阿列克佩罗夫,先生,73,阿塞拜疆-巴库, ,卢克石油,俄罗斯-莫斯科,Russia-Moscow,能源,90,104,1200.0,50%
阿里科·丹格特,先生,66,尼日利亚-卡诺,本科,丹格特水泥,尼日利亚-拉各斯,Nigeria-Lagos,建筑材料,99,21,1150.0,6%
黛安·亨德里克斯,女士,76,,高中,ABC Supply,美国-阿夫顿,USA-Afton,建筑材料,99,201,1150.0,89%
迪利普·桑哈维,先生,68,印度-马哈拉施特拉邦-孟买,本科,Sun Pharmaceutical Industries,印度-孟买,India-Mumbai,制药,99,5,1150.0,-6%
李西廷,先生,72,中国-安徽-宿州,本科,迈瑞,新加坡-新加坡,Singapore-Singapore,医疗器械,99,-6,1150.0,-11%
吕志和,先生,未知,中国-江门-江门, ,银河,中国-香港,China-Hong Kong,博彩,99,95,1150.0,42%
吴光正,先生,77,中国-上海,,会德丰,中国-香港,China-Hong Kong,房地产,99,6,1150.0,-6%
鲁伯特·默多克,先生,92,澳大利亚-墨尔本,本科,新闻集团,美国-纽约,USA-New York,媒体,99,-13,1150.0,-15%
徐航,先生,61,中国-广东,本科,迈瑞、鹏瑞,中国-深圳,China-Shenzhen,医疗器械、房地产,99,-6,1150.0,-11%
张志东,先生,51,中国-广东-东莞,硕士,腾讯,中国-深圳,China-Shenzhen,传媒娱乐,99,-22,1150.0,-19%
贝亚特·海斯特,先生,72,, ,Aldi Sued,德国-米尔海姆,Germany-Mulheim an der Ruhr,多品牌零售,108,-4,1050.0,-11%
陈邦,先生,58,中国-湖南-长沙,硕士,爱尔眼科,中国-长沙,China-Changsha,医疗服务,108,23,1050.0,7%
艾尔·奥弗,先生,未知,以色列-海法, ,Ofer Global,摩纳哥-蒙特卡洛,Monaco-Monte Carlo,房地产,108,24,1050.0,7%
詹姆斯·戴森,先生,76,, ,戴森,英国-马姆斯伯里,UK-Malmesbury,家用电器,108,-4,1050.0,-11%
卡尔·阿尔布雷希特,先生,未知,德国-莱茵-威斯特伐利亚-埃森, ,阿尔迪,德国-米尔海姆,Germany-Mulheim an der Ruhr,多品牌零售,108,-4,1050.0,-11%
刘汉元,先生,59,中国-四川-眉山,,通威,中国-成都,China-Chengdu,新能源、农业,108,11,1050.0,0%
拉达吉申·达马尼,先生,未知,, ,Avenue Supermarts,印度-孟买,India-Mumbai,多品牌零售,108,-41,1050.0,-30%
郭鹤年,先生,未知,, ,郭氏,中国-香港,China-Hong Kong,消费品,108,5,1050.0,-6%
罗伯特·佩拉,先生,45,,本科,Ubiquiti,美国-圣荷西,USA-San Jose,电信服务,108,41,1050.0,14%
弗拉基米尔·利辛,先生,67,俄罗斯-伊万诺沃-伊万诺沃, ,新利佩茨克钢铁公司,俄罗斯-莫斯科,Russia-Moscow,金属与矿产,108,41,1050.0,14%
王文银,先生,55,中国-安徽-安庆,本科,正威,中国-深圳,China-Shenzhen,有色金属,108,12,1050.0,0%
王兴,先生,44,中国-福建-龙岩,本科,美团,中国-北京,China-Beijing,互联网服务,108,-4,1050.0,-12%
严彬,先生,69,中国-山东-莱州, ,华彬,中国-北京,China-Beijing,功能饮料,108,-3,1050.0,-11%
安德烈·梅尔尼琴科,先生,51,白俄罗斯-戈梅尔-戈梅尔,本科,西伯利亚煤炭能源,俄罗斯-莫斯科,Russia-Moscow,能源,121,11,1000.0,0%
卡尔·伊坎,先生,87,美国-纽约州-布鲁克林,本科,伊坎企业,美国-纽约,USA-New York,资产管理,121,11,1000.0,0%
夏琳·卡瓦略,女士,69,荷兰-阿姆斯特丹,本科,喜力,英国-伦敦,UK-London,酒类饮品,121,28,1000.0,7%
丹尼尔·塞维特耶·蒙特,先生,64,墨西哥-墨西哥城,本科,Grupo Bimbo,墨西哥-墨西哥城,Mexico-Mexico City,食品加工,121,154,1000.0,56%
唐纳德·布伦,先生,91,美国-加利福尼亚-洛杉矶,本科,欧文公司,美国-新港滩,USA-Newport Beach,房地产,121,11,1000.0,0%
