姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
马云,先生,55,中国-浙江-杭州,本科,阿里系,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务、金融科技,1,0,2750.0,2%
马化腾,先生,48,中国-海南,本科,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,互联网服务,2,1,2600.0,8%
许家印,先生,61,中国-河南-周口,硕士,恒大,中国-广东-深圳,China-Guangdong-Shenzhen,房地产、投资,3,-1,2100.0,-16%
何享健,先生,77,中国-广东-佛山, ,美的,中国-广东-佛山,China-Guangdong-Foshan,家电制造、房地产,4,2,1800.0,38%
孙飘扬,先生,61,中国-江苏-镇江,硕士,恒瑞制药、翰森制药,中国-江苏-连云港,China-Jiangsu-Lianyungang,医药,5,15,1750.0,112%
杨惠妍,女士,38,中国-广东-佛山,本科,碧桂园,中国-广东-佛山,China-Guangdong-Foshan,房地产,5,-1,1750.0,17%
黄峥,先生,39,中国-浙江-杭州,硕士,拼多多,中国-上海,China-Shanghai,购物网站,7,6,1350.0,42%
丁磊,先生,48,中国-浙江-宁波,本科,网易,中国-广东-广州,China-Guangdong-Guangzhou,互联网技术,8,8,1250.0,39%
王健林,先生,65,中国-四川-绵阳,本科,万达,中国-北京,China-Beijing,房地产、文化,9,-4,1200.0,-14%
严昊,先生,33,中国-江苏-淮安,本科,太平洋建设,中国-新疆-乌鲁木齐,China-Xinjiang-Urumchi,基础建设,9,-2,1200.0,0%
张勇,先生,48,中国-四川-成都, ,海底捞,中国-北京,China-Beijing,餐饮,9,25,1200.0,118%
王卫,先生,49,中国-上海, ,顺丰,中国-香港,China-Hong Kong,快递,12,-5,1100.0,-8%
陈建华,先生,48,中国-江苏-苏州,硕士,恒力,中国-江苏-苏州,China-Jiangsu-Suzhou,化纤、石化、房地产,13,9,1050.0,33%
张志东,先生,47,中国-广东-东莞,硕士,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,互联网服务,13,0,1050.0,11%
李书福,先生,56,中国-浙江-台州,博士,吉利,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造,15,1,1000.0,11%
秦英林,先生,54,中国-河南-南阳,本科,牧原,中国-河南-南阳,China-Henan-Nanyang,畜牧,15,55,1000.0,182%
王文银,先生,51,中国-安徽-安庆,本科,正威,中国-广东-深圳,China-Guangdong-Shenzhen,有色金属,15,-5,1000.0,-9%
姚振华,先生,49,中国-广东-汕头,本科,宝能,中国-广东-深圳,China-Guangdong-Shenzhen,投资、房地产,15,-3,1000.0,0%
张近东,先生,56,中国-江苏-南京,本科,苏宁,中国-江苏-南京,China-Jiangsu-Nanjing,零售、房地产,15,-2,1000.0,5%
林立,先生,56,中国-广东-河源,硕士,立业,中国-广东-深圳,China-Guangdong-Shenzhen,金融、投资,20,5,950.0,42%
许荣茂,先生,69,中国-福建-泉州, ,世茂,中国-上海,China-Shanghai,房地产,20,-1,950.0,12%
张一鸣,先生,36,中国-福建-龙岩,本科,字节跳动,中国-北京,China-Beijing,推荐引擎,20,6,950.0,46%
庞康,先生,63,中国-广东-佛山,本科,海天味业,中国-广东-佛山,China-Guangdong-Foshan,食品,23,12,850.0,63%
吴亚军,女士,55,中国-重庆,本科,龙湖,中国-北京,China-Beijing,房地产,23,10,850.0,45%
宗庆后,先生,74,中国-江苏-宿迁, ,娃哈哈,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料,23,-7,850.0,-6%
刘永好,先生,68,中国-四川-成都, ,新希望,中国-四川-成都,China-Sichuan-Chengdu,农业、化工、金融,26,36,800.0,111%
严彬,先生,65,中国-山东-莱州, ,华彬,中国-北京,China-Beijing,饮料、地产,26,-3,800.0,3%
刘强东,先生,45,中国-江苏-宿迁,本科,京东,中国-北京,China-Beijing,电子商务、金融,28,-4,760.0,1%
雷军,先生,50,中国-湖北-仙桃,本科,小米,中国-北京,China-Beijing,智能硬件与技术、投资,29,-19,750.0,-32%
刘永行,先生,71,中国-四川-成都,博士,东方希望,中国-上海,China-Shanghai,氧化铝、重化工、饲料,30,-1,700.0,11%
卢志强,先生,67,中国-山东-威海,硕士,泛海,中国-北京,China-Beijing,金融、房地产,30,-9,700.0,-13%
徐航,先生,57,中国-广东,本科,迈瑞、鹏瑞,中国-广东-深圳,China-Guangdong-Shenzhen,医疗设备、房地产,30,52,700.0,119%
孙宏斌,先生,56,中国-山西-运城,硕士,融创,中国-天津,China-Tianjin,房地产,33,10,680.0,48%
龚虹嘉,先生,54,,本科,海康威视,中国-浙江-杭州,China-Zhejiang-Hangzhou,视频监控产品,34,-3,650.0,10%
李彦宏,先生,51,中国-山西-阳泉,硕士,百度,中国-北京,China-Beijing,搜索引擎,34,-25,650.0,-43%
郑淑良,先生,73,中国-山东, ,魏桥创业,中国-山东-滨州,China-Shandong-Binzhou,纺织、铝业,34,-8,650.0,0%
王玉锁,先生,55,中国-河北-廊坊,硕士,新奥,中国-河北-廊坊,China-Hebei-Langfang,天然气、能源化工,37,-7,640.0,3%
谢炳,先生,67,中国-广东-汕头, ,中国生物,中国-北京,China-Beijing,医药,38,7,625.0,37%
李华,先生,53,中国-四川,本科,卓越,中国-广东-深圳,China-Guangdong-Shenzhen,房地产,39,32,610.0,74%
李西廷,先生,68,中国-安徽-宿州,本科,迈瑞,中国-广东-深圳,China-Guangdong-Shenzhen,医疗设备,40,141,600.0,224%
