姓名,性别,年龄,财富值_人民币/亿元,排名变化,企业信息,所在行业
柯桂华,先生,58,115,182,科博达,汽车电子产品
刘革新,先生,72,115,142,科伦药业,制药、医药流通
任正非,先生,79,115,-101,华为,消费电子、电讯
陶悦群,先生,63,115,-150,欧普康视,医疗器械制造、销售
王均豪,先生,51,115,-7,均瑶,房地产、航空、零售
温鹏程家族,先生,61,115,-90,温氏食品,家禽养殖畜牧
许昆泰家族,先生,67,115,142,蓝天,消费电子产品
许志翰,先生,51,115,142,卓胜微,电子器件制造
袁富根家族,先生,73,115,-122,东山精密,精密铸件
赵鸿飞,先生,49,115,-134,中科创达,智能终端操作系统
向文波,先生,61,113,29,三一,重型机械
曹骥、曹政父子,先生,71,110,-165,杭可科技,锂电池
曾继疆家族,先生,61,110,-137,宏达电子,电子器件制造
陈湖文,先生,53,110,-42,晨光,文具用品制造
陈湖雄,先生,53,110,-42,晨光,文具用品制造
陈文源、张茜夫妇,先生,55,110,2,华兴源创,设备制造
邓文、唐璐夫妇,先生,55,110,-42,天味食品,食品
董才平,先生,60,110,-22,中天钢铁,钢铁、投资
高兴江,先生,60,110,-267,永兴特钢,不锈钢
何旗,先生,41,110,2,均和,钢铁贸易
何著胜家族,先生,76,110,28,后英,耐火材料、钢铁、矿业
李杰,先生,48,110,New ~,极兔速递,物流快递
李琼,先生,46,110,576,昆仑万维,互联网游戏、投资
李卫伟,先生,46,110,127,三七互娱,网络游戏
刘洪林,先生,72,110,441,三木,化工、铜加工、电线电缆
孟庆山家族,先生,75,110,2,梅花,食用调味品
欧雷强,先生,55,110,304,百济神州,医药
沈亚,先生,52,110,308,唯品会,新零售
唐敖齐家族,先生,78,110,207,新泉股份,汽车配饰
吴英,先生,59,110,-137,美畅,新材料
许连捷,先生,70,110,-42,恒安,个人护理用品
叶刚,先生,42,110,-165,冬海集团,网络游戏、电商
昝圣达,先生,60,110,-42,综艺,新能源、信息科技、投资
张克强,先生,63,110,-22,华美国际,投资、房地产
张兴海、颜敏夫妇,先生,60,110,-208,小康控股,汽车、汽车零配件
张永平,先生,62,110,-22,秀水街,房地产
钟乃雄,先生,60,110,28,能兴,房地产、投资
周剑,先生,47,110,-249,迈为股份,智能制造装备
周亚辉,先生,46,110,666,昆仑万维,互联网游戏、投资
毛中吾,先生,61,108,26,三一,重型机械
陈士良,先生,60,105,98,桐昆,化纤、房地产
方洪波,先生,56,105,56,美的,家电制造
顾伟,先生,58,105,98,兆驰股份,消费电子产品
何涛,先生,43,105,25,圆心科技,互联网医院
花轩德家族,先生,80,105,-229,中贝九洲,医药
凌斌、王曦夫妇,先生,55,105,56,康冠科技,电子器件制造
罗嘉瑞家族,先生,70,105,-27,鹰君,房地产
任道德,先生,63,105,-92,泰康,保险
商晓波、邓烨芳夫妇,先生,49,105,-27,鸿路钢构,金属结构制造业
施文博,先生,73,105,-27,恒安,个人护理用品
汪顾亦珍家族,先生,106,105,138,德昌电机,工业产品
王维,先生,42,105,-71,行云集团,企业服务
吴波家族,先生,69,105,138,埃斯顿,机械装备制造
项光明、王素勤夫妇,先生,60,105,-166,伟明环保,垃圾发电
许晨晔,先生,52,105,25,腾讯,互联网服务
张世龙家族,先生,57,105,98,圣邦,模拟芯片
章小华,先生,55,105,-1,红狮控股,水泥
折生阳,先生,68,105,25,铂力特,金属增材制造
陈林父子,先生,48,100,-91,威高,医疗器械
陈智松,先生,57,100,-112,亿联网络,通信
高云峰,先生,56,100,-47,大族激光,激光设备
胡扬忠,先生,58,100,5,海康威视,视频监控产品
傅明康家族,先生,60,100,-91,日月股份,机械配件
胡应湘,先生,88,100,36,合和实业,房地产、建筑工程
黄宏生家族,先生,67,100,5,创维,家用电器
姜照柏,先生,60,100,-306,鹏欣,乳业、房地产、投资
方玉友,先生,54,100,5,珀莱雅,化妆品
邓耀家族,先生,89,100,36,百丽,服装与配饰
李国宝家族,先生,84,100,78,东亚银行,银
李家权家族,先生,60,100,-165,龙蟒,钛白粉、磷化工
李国庆,先生,53,100,5,荣盛控股,化纤
金磊,先生,58,100,5,长春高新,生物制药
李永庆,先生,59,100,5,荣盛控股,化纤
励建立,先生,51,100,118,科达利,锂电池结构件
利蕴莲家族,先生,69,100,-21,希慎兴业,房地产
杨冰,先生,38,100,36,得物,电商
袁仲雪、袁嵩父子,先生,68,100,158,赛轮轮胎,轮胎
张亚、周文梅夫妇,先生,54,100,-198,国光电气,微波电子器件
钟英武,先生,38,100,465,趣加科技,游戏
周庆治家族,先生,68,100,-91,南都,电池、投资
周志文、冯宇霞夫妇,先生,58,100,-214,昭衍新药,生物医药
兰春、杨英夫妇,先生,57,99,28,新英才,教育、生物医药、房地产、投资
应书岭,先生,42,98,30,英雄互娱,电竞游戏
张邦鑫,先生,43,98,214,好未来,教育
昌敬,先生,41,97,262,石头科技,智能机器人
刘庆峰,先生,50,97,163,科大讯飞,软件和信息技术服务业
潘刚,先生,53,96,-96,伊利,乳制品
陈得福家族,先生,75,95,68,仙妮雷德,医疗保健
杜伟民,先生,60,95,-45,康泰生物,生物医药
高毅,先生,55,95,-45,益丰药房,医药零售
何朝曦,先生,49,95,-14,深信服,应用软件服务
黄建勲,先生,58,95,-14,联泰,基础建设、房地产
柯为湘,先生,72,95,-45,保利达,房地产
张洪本,先生,77,95,209,日月光,工业品、房地产
张涛,先生,51,95,-71,美团,生活服务
周镇科,先生,48,95,28,大晟文化,文化娱乐
甘忠如,先生,75,94,123,甘李药业,生物制药
何朝晖、何培翛父女,先生,54,93,New ~,左江科技,网络安全
张军、张漪楠母女,先生,59,93,New ~,左江科技,网络安全
白宝鲲,先生,53,90,-238,坚朗五金,高端建筑五金
陈建成、陈嫣妮父女,先生,64,90,-6,卧龙控股,电气设备、房地产
陈卓林、陆倩芳夫妇,先生,61,90,-79,雅居乐,房地产
丁永强,先生,43,90,New ~,古瑞瓦特,光伏设备
段永平,先生,62,90,-48,步步高,投资
焦震,先生,57,90,-48,鼎晖,投资
梁安琪,女士,62,90,126,澳博,博彩
梁信军,先生,55,90,-48,-,投资
卢竑岩,先生,46,90,369,吉比特,网络技术
秦龙,先生,58,90,-6,森麒麟,轮胎
汪力成,先生,63,90,552,华立,医药、投资
王德根、张强夫妇,先生,52,90,New ~,德康农牧,畜牧业、教育
王晖家族,先生,62,90,34,盛美半导体,半导体
王吉雷,先生,58,90,-79,中通,快递
王明鎏,先生,40,90,-105,毛球科技,投资、区块链、游戏
王文潮家族,先生,72,90,74,台塑,化工
王文杉家族,先生,53,90,34,联合报业,媒体
王文洋、王思涵父女,先生,72,90,126,宏仁,化学原料
王义平家族,先生,62,90,175,继峰股份,汽车零部件
吴礼淦家族,先生,82,90,458,沪电股份,印制电路板
谢岳荣家族,先生,59,90,New ~,箭牌家居,建筑陶瓷
徐勇,先生,59,90,168,百度,网络信息服务
杨志茂、朱凤廉夫妇,先生,60,90,34,新世纪科教,投资
易贤忠家族,先生,64,90,232,百奥泰,生物医药
袁莉萍,先生,52,90,34,康泰生物,生物医药
张近东,先生,60,90,-155,苏宁,零售、房地产
张学政,先生,48,90,-131,闻泰科技,半导体
张跃、赖玉静夫妇,先生,63,90,34,远大,环保建筑
周剑,先生,47,90,74,优必选,机器人
黄金祥、赵启荣夫妇,先生,58,89,42,安徽广信,农药化肥、房地产
夏鼎湖、夏迎松父子,先生,79,88,1,中鼎,汽车零部件
张大中,先生,75,88,-2,大中,投资
陈世卿、蒋翠英夫妇,先生,74,86,39,大立光,电子元件
李进、李麒麟父子,先生,61,86,-114,李宁,体育用品、投资
陈德军,先生,53,85,-3,申通快递,物流
陈文平,先生,46,85,New ~,赛维时代,跨境电商
陈雪华,先生,62,85,-437,华友钴业,有色金属
程立力、沈静夫妇,先生,58,85,-142,立华股份,畜牧
戴文渊、吴茗夫妇,先生,40,85,37,第四范式,人工智能
董清世、施丹红夫妇,先生,57,85,-3,信义,玻璃
管毅宏,先生,54,85,-85,九毛九,餐饮
郭建刚家族,先生,57,85,37,新宝电器,小家电
黄民奇,先生,71,85,89,汉辰科技,半导体
江南,先生,60,85,89,圣丰,房地产、工业制造
姜雪飞、朱雪花夫妇,先生,54,85,89,崇达科技,印刷电路板
井贤栋,先生,51,85,-85,阿里系,电子商务、金融科技
柯尊洪家族,先生,69,85,37,康弘药业,制药
李海周、谢燕玲夫妇,先生,53,85,138,兆威机电,电气设备
梁勤、王毅夫妇,先生,52,85,-233,扬杰科技,半导体
刘方毅,先生,53,85,-43,英科医疗,医疗器械
刘銮鸿,先生,70,85,89,利福国际,房地产
卢宗俊,先生,60,85,-43,中谷物流,物流
陆风,先生,55,85,138,万得资讯,数据服务
吕建明,先生,58,85,-192,通策医疗,医疗器械
聂云宸,先生,32,85,37,喜茶,餐饮
乔志涌家族,先生,59,85,340,侨源股份,液态气体
秦华,先生,55,85,New ~,乖宝宠物,宠物食品
邵建雄,先生,59,85,-419,禾迈股份,光伏逆变器
孙清焕、孙项邦父子,先生,50,85,-3,木林森,光学光电
孙毅,先生,56,85,-3,浙富控股,清洁能源装备
王信文,先生,36,85,37,莉莉丝,游戏
吴仲毅,先生,50,85,-142,亿联网络,通信
伍超群,先生,54,85,421,千禾味业,食品
谢秉政、冯玲玲夫妇,先生,54,85,421,比音勒芬,服装
徐冠巨,先生,62,85,-85,传化,化工、农业、投资
徐万茂家族,先生,78,85,-43,华茂,文具、教育、房地产、金融
许江南、许晶父女,先生,61,85,37,天新药业,医药
张恭运,先生,60,85,332,豪迈科技,机械制造
张晋芳,先生,38,85,37,集创北方,集成电路
张镇潮,先生,56,85,344,税友股份,财税软件
周文、郭艺群夫妇,先生,58,85,-43,普利特,塑料制造、汽车配件
庄奎龙家族,先生,61,85,271,新凤鸣,化纤
苗拥军,先生,56,82,-5,安图生物,医药制造业
申东日家族,先生,51,82,-5,朗姿,服装
赵鹏,先生,53,82,-210,BOSS直聘,招聘网站
孙喜双家族,先生,70,81,-48,一方,房地产、投资
万隆、王梅香夫妇,先生,83,81,-54,双汇,食品
朱一明,先生,51,81,-11,兆易创新,芯片研发
蔡宏柱、蔡开云父子,先生,72,80,89,稻花香,白酒
蔡镇球家族,先生,58,80,146,霖园,金融服务
曹克坚,先生,61,80,-191,开山控股,压缩机
成正辉、成灵父子,先生,59,80,New ~,惠泰医疗,医疗器械
褚健,先生,60,80,-12,中控技术,软件系统
戴文军,先生,55,80,-92,绝味,食品
邓颖忠家族,先生,72,80,-12,中顺洁柔,生活用纸
刁志中,先生,60,80,-165,广联达,软件与信息服务
方同华家族,先生,60,80,40,珍宝岛药业,医药
侯昌财,先生,67,80,40,源昌,房地产
黄敏,先生,50,80,-217,固德威,光伏逆变器
黄小芬家族,女士,60,80,89,景旺电子,印刷电路板
黄子欣,先生,74,80,89,伟易达,消费品
姜桂廷、宋桂花夫妇,先生,65,80,40,景津环保,设备制造
柯希平,先生,63,80,-12,恒兴实业,投资、地产
李登海,先生,74,80,-134,登海种业,农业
李东生,先生,66,80,146,TCL,家用电器及半导体产品
李完小家族,先生,57,80,New ~,航天环宇,航空设备
李晓林,先生,70,80,-12,林达,房地产、投资
林海川家族,先生,51,80,40,宏川,仓储物流
刘伟,先生,58,80,-217,佳都科技,软件和信息技术
潘龙泉,先生,60,80,-134,泉峰,电动工具
瞿晓铧、张含冰夫妇,先生,59,80,New ~,阿特斯,光伏设备
阮水龙家族,先生,88,80,-52,龙盛,化工、钢铁
宋卫平、夏一波夫妇,先生,65,80,-134,绿城,房地产
孙勇坚,先生,57,80,-134,宝矿,地产、贸易
王建东,先生,51,80,-134,中建融东,钢铁
王锦华、宋英夫妇,先生,60,80,291,金石资源,矿产
王仕锐,先生,36,80,40,医联,医疗服务
王正根,先生,51,80,-356,迈为股份,智能制造装备
魏学专,先生,70,80,89,汇丰石化,化工
夏曙东,先生,51,80,263,千方科技,智能交通
熊武,先生,47,80,-12,深信服,应用软件服务
徐旭阳,先生,52,80,New ~,普瑞眼科,医疗服务
闫洪嘉,先生,43,80,New ~,宇泽,新能源
严俊旭,先生,54,80,38,天顺风能,风电设备、船舶设备
叶德林、李要夫妇,先生,55,80,-134,新明珠,建筑陶瓷
张建国、蔡丽红夫妇,先生,60,80,-12,九丰能源,能源
张新,先生,61,80,263,特变电工,电气机械和器材制造
张轩松,先生,52,80,-92,永辉,超市零售
郑效东、郑可青父女,先生,59,80,-368,东富龙,医疗设备
钟培峰家族,先生,60,80,222,晶晨股份,电子
黎万强,先生,46,79,214,小米,智能硬件与技术
李小明,先生,62,79,-104,帝海,房地产
周旭明家族,先生,50,79,173,科思股份,化学品原料
王斌,先生,37,78,New ~,书亦餐饮,餐饮连锁
徐进,先生,58,78,210,口子窖,白酒
陈泽民家族,先生,80,77,-114,三全食品,食品
王慧文,先生,45,77,-148,美团,生活服务
白厚善,先生,59,75,-340,容百控股,锂电池材料
薄世久、李桂屏夫妇,先生,59,75,New ~,长久,物流、汽车销售
蔡其瑞家族,先生,72,75,88,宝成,服装
程先锋,先生,55,75,225,亿帆鑫富,医药
程涌、贺波夫妇,先生,49,75,237,奥士康,高密度印制电路板
杜玉林、李红夫妇,先生,51,75,31,中望软件,专用软件
冯国纶,先生,75,75,31,利丰,物流
葛志勇,先生,53,75,-223,奥特维,光伏设备
何中林,先生,55,75,New ~,融通,锂电池材料
胡赓熙、陈燕霓夫妇,先生,59,75,-223,我武生物,医药
黄关林,先生,57,75,141,申洲针织,纺织、服装
柯金龙、王春婵夫妇,先生,53,75,31,大参林,医药
柯康保家族,先生,60,75,31,大参林,医药
柯云峰、梁小玲夫妇,先生,56,75,31,大参林,医药
李保平家族,先生,63,75,-18,黄河矿业,煤炭
李平,先生,59,75,31,天高,矿业开发、冶金贸易
李水波家族,先生,67,75,-275,新莱洁净,洁净系统部件
李添财,先生,85,75,81,金车,食品饮料
李志远、靖宇清夫妇,先生,68,75,164,金盘科技,变压器
刘宝林,先生,70,75,237,九州通,医药流通
刘国伟,先生,51,75,237,汇川技术,工业自动化产品
鲁忠芳、李永新母子,女士,81,75,-538,中公教育,教育
吕绍林、程彩霞夫妇,先生,50,75,31,博众精工,自动化设备
任晋生家族,先生,61,75,-192,先声药业,生物医药
茹伯兴、茹正伟父子,先生,76,75,31,百兴,工业制造、房地产
邵晓峰,先生,58,75,-18,阿里系,电子商务、金融科技
盛百椒,先生,71,75,-70,百丽,鞋业
唐晔,先生,42,75,164,柏楚电子,信息技术
王晓申,先生,55,75,-299,赣锋锂业,有色金属冶炼加工
吴宝田家族,先生,72,75,79,丽宝,房地产、酒店
熊小川,先生,57,75,New ~,美好创亿,医疗机械
徐观宝,先生,66,75,-70,传化,化工、农业、投资
薛济萍,先生,72,75,-299,中天科技,电缆
杨浩涌,先生,49,75,-192,车好多,汽车服务
姚俊良,先生,70,75,-70,美锦能源,煤炭
张思民、王劲松夫妇,先生,61,75,-70,海王,医药、房地产
张天瑜,先生,56,75,88,广和通,通信设备
张学武,先生,49,75,314,盐津铺子,食品制造
钟怀军家族,先生,59,75,88,紫燕食品,食品
周国辉,先生,58,75,-18,怡亚通,供应链
宗艳民,先生,59,75,-340,天岳先进,半导体材料
谭瑞清、张晓琳夫妇,先生,57,74,88,龙佰,钛白粉
许达来,先生,52,74,106,小米,智能硬件与技术、投资
曹德风、孟海蒂夫妇,先生,78,73,238,佳格,食品
陈慧慧,女士,64,73,116,南丰,房地产
丁水波,先生,53,73,-198,特步,体育用品
董增平,先生,53,73,266,思源电气,输配电设备
何亚民家族,先生,66,73,40,利君股份,机械制造
何祖训,先生,58,73,-118,神农集团,畜牧
洪水树家族,先生,64,73,116,可成科技,设备制造
李俊田,先生,48,73,189,汇川技术,工业自动化产品
罗康瑞家族,先生,75,73,40,瑞安,房地产
吕培榕,先生,64,73,-66,大帝,投资、房地产、服装
吕义雄,先生,46,73,189,上美,化妆品
缪双大、缪文彬父子,先生,72,73,-158,双良,空调设备
彭永东,先生,44,73,-74,贝壳,房地产服务
邱建林,先生,60,73,93,恒逸,化纤
邱奕博,先生,36,73,93,恒逸,化纤
石克荣,先生,66,73,-66,汇福,食品
是玉峰、宗丽萍夫妇,先生,47,73,-198,派克新材,金属锻件
宋薇、李阳谷母子,女士,55,73,177,谱尼测试,综合性检测机构
孙洪军,先生,50,73,-17,艾为电子,芯片
万峰、万云翔父子,先生,80,73,-66,华测检测,生命科学检测
王铭祥、周一峰夫妇,先生,45,73,189,东华能源,石油化工
吴崇仪,先生,64,73,40,至兴,汽车零部件
杨受成家族,先生,79,73,40,英皇,房地产
杨文龙家族,先生,61,73,-323,仁和药业,医药
杨钊家族,先生,76,73,40,旭日企业,服装、房地产
姚文琛家族,先生,72,73,New ~,姚记扑克,文娱
张德生家族,先生,74,73,86,万马电线电缆,电缆、房地产、医药
朱江明,先生,56,73,New ~,大华技术,软件、电子通讯产品
朱敏、徐郁清夫妇,先生,75,73,-66,赛伯乐,投资
陈海波,先生,54,70,New ~,深兰科技,人工智能
陈清州、翁丽敏夫妇,先生,58,70,81,海能达,专业无线通信设备
范秀莲、杨飞母女,先生,60,70,154,海思科,医药
付胜龙家族,先生,61,70,-101,大汉控股,钢材贸易、房地产
韩玉龙、陆剑霞夫妇,先生,38,70,5,Manner,餐饮
何新明、何颖父女,先生,68,70,325,东鹏,建筑陶瓷
黄炳文家族,先生,69,70,5,东风印刷,印刷
黄泽兰、赖香英夫妇,先生,68,70,5,章源钨业,钨矿
江必旺、陈荣姬夫妇,先生,58,70,-402,纳微科技,微球材料
金鑫,先生,56,70,-332,大金重工,钢结构产品
李林,先生,41,70,-358,火币,区块链
李思廉,先生,66,70,-275,富力地产,房地产
林宏修家族,先生,72,70,-587,融侨,房地产
刘明辉,先生,60,70,-153,中国燃气,能源
陆永华、毛彩虹夫妇,先生,60,70,5,林洋电子,电子式电能表
彭骞,先生,49,70,New ~,精测电子,仪表
裘国根、骆奕夫妇,先生,54,70,-101,重阳投资,投资
孙伟杰,先生,60,70,-193,杰瑞石油,石油专用设备
王维东、许小菊夫妇,先生,46,70,5,赢合科技,自动化设备
姚其湧,先生,59,70,154,宏兆,投资
袁菁,先生,43,70,5,沐瞳科技,游戏
张晖,先生,45,70,81,满帮,运输
赵满堂家族,先生,63,70,231,盛达,矿业、酒店
钟声坚,先生,65,70,-358,仁恒,房地产
李缜、李晨父子,先生,59,68,-261,国轩高科,电池、房地产、影视、投资
夏崇耀家族,先生,64,68,-504,东方电缆,电缆
杨元庆,先生,59,68,188,联想,计算机服务、投资
乔玉华,先生,57,67,102,双欣,煤炭、热电、化工
张曦,先生,49,67,-133,国瓷材料,陶瓷
丁锋,先生,57,66,New ~,星星充电,充电桩
李玉国家族,先生,64,66,47,九台,投资、房地产
刘载望、富海霞夫妇,先生,51,66,88,江河,建筑幕墙
邵丹薇,女士,41,66,New ~,星星充电,充电桩
叶继跃、张桂玉夫妇,先生,56,66,New ~,三维股份,橡胶制品
袁永彬、潘禾佳夫妇,先生,61,66,-86,伯特利,汽车零部件
蔡海山家族,先生,45,65,New ~,联邦制药,医药
蔡明通、蔡劲军父子,先生,71,65,-237,火炬电子,电子元器件
蔡荣军,先生,51,65,37,欧菲光,光电子元器件
陈保华,先生,61,65,-96,华海药业,医药
陈奇星,先生,64,65,-96,长盈精密,电子元件
陈银河家族,先生,49,65,-319,密尔克卫,化工供应链服务
程维,先生,40,65,281,滴滴出行,生活服务平台
戴珊,先生,47,65,7,阿里系,电子商务、金融科技
戴学斌、董翔夫妇,先生,44,65,-39,蓝润实业,房地产、投资
邓耀升,先生,37,65,37,升域,房地产
方隽云、方骥柠父女,先生,59,65,252,洁美科技,电子元器件
江淦钧,先生,59,65,110,索菲亚,家具
蒋锡培、蒋承志父子,先生,60,65,-145,智慧能源,电缆、医药、房地产
柯炳华、柯龙图父女,先生,54,65,281,科博达,汽车电子产品
李新炎、倪银英夫妇,先生,72,65,-39,中国龙工,重型工程用车
梁耀铭,先生,59,65,-39,金域医学,医学检测及病理诊断
林集永,先生,53,65,37,慕思,床垫
柳新荣、唐正青夫妇,先生,50,65,New ~,佳禾食品,食品
鲁楚平、彭惠夫妇,先生,58,65,37,大洋电机,工业电机
欧亚平,先生,61,65,37,百仕达,天然气、房地产
佘英杰,先生,66,65,187,新豪国际,电子设备制造
施崇棠,先生,71,65,281,华硕,电脑产品
束崇万家族,先生,69,65,New ~,创见信息,半导体
苏如春家族,先生,55,65,-39,华邦,房地产、建筑、投资
王炳坤,先生,51,65,37,慕思,床垫
王硕,先生,33,65,281,Deel,企业服务
吴永华,先生,53,65,25,安踏,体育用品
吴泳铭,先生,48,65,7,阿里系,电子商务、金融科技
谢可滔,先生,59,65,187,中教,教育
徐炳忠家族,先生,49,65,-237,海伦司,连锁酒馆
许世俊、许成辰父子,先生,60,65,-237,海力风电,风电设备
叶帆家族,先生,51,65,-402,美东汽车,汽车经销
于果,先生,61,65,187,中教,教育
余海军,先生,49,65,-145,宝利德,汽车销售
张步镇,先生,48,65,New ~,药师帮,医疗服务
张建成,先生,64,65,New ~,爱柯迪,汽车零配件
张利钿家族,先生,59,65,-39,雅士利,乳业
张俏英家族,先生,67,65,-197,力劲科技,机械制造
赵延平、杨云夫妇,先生,55,65,-96,华测导航,卫星导航
赵轶、徐昕夫妇,先生,47,65,-376,长川科技,半导体设备
朱田中家族,先生,58,65,New ~,灿勤科技,电子元器件
朱兴良,先生,64,65,-145,金螳螂,建筑
冯焕培、范朝霞夫妇,先生,57,64,-327,京运通,光伏设备制造
袁金华,先生,64,64,51,三一,重型机械
赵曰岭家族,先生,71,64,-143,金岭,化工
耿殿根,先生,67,63,121,光环新网,电信运营
刘迎新,先生,53,63,136,汇川技术,工业自动化产品
刘永亮,先生,57,63,New ~,沧港铁路,铁路运输
寿柏年,先生,61,63,-44,绿城服务,物业管理
苏增福家族,先生,83,63,39,苏泊尔,厨具、投资
童文红,先生,53,63,-19,阿里系,电子商务、金融科技
万永兴,先生,52,63,-91,中瑞,煤炭供应链管理、房地产
张伟,先生,66,63,New ~,热威股份,热电元件
安治富家族,先生,77,62,-296,富临,房地产、运输
曹积生,先生,63,62,212,益生股份,养殖、饲料
赖国贵家族,先生,59,62,-98,春风控股集团,摩托车
李振江家族,先生,66,62,222,神威,医药
陶春风,先生,56,62,-34,长鸿高科,高分子材料
王进,先生,51,62,New ~,同花顺,软件
王振滔、王晨父子,先生,58,61,-161,奥康,鞋业、地产
徐子泉、康宁夫妇,先生,65,61,94,捷成,软件与信息服务
赵魁,先生,63,61,-51,鄂尔多斯,羊绒、煤电、冶金、房地产
Allan Warburg,先生,57,60,42,绫致时装,服装零售
Dan Friis丹飞,先生,54,60,42,绫致时装,服装零售
艾立华家族,先生,65,60,-213,艾华,电容器制造
鲍洪星,先生,59,60,New ~,双胞胎,畜牧
陈睿,先生,45,60,-107,哔哩哔哩,视频弹幕网站
陈涛、刘春兰夫妇,先生,51,60,New ~,胜宏科技,高密度印制电路板
陈雪玲,先生,56,60,-107,晨光,文具用品制造
陈幼兴,先生,62,60,-444,斯达半导,半导体
陈育宣、林德英夫妇,先生,57,60,-107,电连技术,电子元件连接器
陈卓贤家族,先生,56,60,-107,雅居乐,房地产
代田田,先生,40,60,213,柏楚电子,信息技术
丁佐宏,先生,61,60,-107,月星,房地产、零售、制造
董清波、龑秀惠夫妇,先生,60,60,-31,信义,玻璃
冯小华,先生,67,60,-164,洋浦南华糖业,制糖业
郭春萱,先生,77,60,115,瑞丰新材,化工
韩宏伟、韩啸父子,先生,58,60,42,贵酒、海银财富,白酒、金融
韩真发,先生,70,60,-43,正业,地产、投资、农业
黄健,先生,56,60,119,美的,家电制造
黄康境家族,先生,61,60,New ~,绿景,房地产
纪海鹏家族,先生,56,60,-535,龙光地产,房地产
贾国龙,先生,56,60,10,西贝,餐饮
柯磊,先生,38,60,213,科博达,汽车电子产品
黎经华,先生,61,60,-164,罗浮宫家居,家具零售
李建国、蒋鹂北夫妇,先生,59,60,119,润建股份,通信技术服务商
李建华、李晓奇父女,先生,70,60,-31,威华,地板
李立新,先生,56,60,-164,利时,塑胶产品、商业连锁、投资
李瑞强,先生,44,60,-164,诺禾致源,基因组学解决方案
李文美、王继华夫妇,先生,61,60,-31,万孚生物,快速诊断试剂
李志刚,先生,47,60,-551,帝尔激光,设备制造
林启彬家族,先生,70,60,119,英利汽车,汽车零配件
卢荣富,先生,52,60,-219,亿联网络,通信
钱俊冬、崔蕾夫妇,先生,43,60,New ~,三人行,广告传媒
覃九三、邓永红夫妇,先生,56,60,213,新宙邦,电子化学品
唐柱学,先生,48,60,213,汇川技术,工业自动化产品
王刚,先生,47,60,-107,满帮,物流
王俊,先生,47,60,42,碳云、华大基因,医疗大数据、基因检测
温纯青,先生,52,60,-164,大百汇,烟草、房地产、白酒
吴亦圭家族,先生,71,60,213,台聚,化工
谢识才家族,先生,62,60,-43,博威合金,合金材料
徐素、周实母女,女士,63,60,-213,海洋王,特殊环境照明设备
姚劲波,先生,47,60,-164,58同城,生活服务
姚良柏,先生,54,60,-164,欧派家居,橱柜
张果喜,先生,71,60,104,果喜,玉矿、木雕、地产
章方良家族,先生,59,60,-107,金斯瑞,生物科技
甄荣辉,先生,61,60,42,51job,互联网服务
郑元豹,先生,65,60,-31,人民电器,工业电器、房地产、投资
周俊杰,先生,55,60,New ~,银都股份,餐饮设备
单建明、鲍凤娇夫妇,先生,63,59,-16,美欣达,纺织、房地产、投资
傅梅城,先生,66,59,130,华策影视,影视传媒
黄必亮,先生,52,59,New ~,杰华特,半导体
楼小强、郑北夫妇,先生,55,59,-161,康龙化成,生物医药
沈基水、吕月珍夫妇,先生,54,59,New ~,同庆楼,餐饮
姚毅、杨艺夫妇,先生,58,59,46,凌云光,消费电子
李红京,先生,55,58,59,道通科技,汽车智能诊断设备
林志雄,先生,50,58,44,大博医疗,医疗器械
周儒欣、周光宇父子,先生,60,58,44,北斗星通,卫星导航设备
曹国伟,先生,58,57,-181,微博,传媒娱乐
胡成中,先生,62,57,-229,德力西,工业电器、房地产
胡季强,先生,62,57,119,康恩贝,医药
林伯实家族,先生,78,57,New ~,台玻,建筑玻璃
林海峰,先生,48,57,-172,东方日升,太阳能
孙永根,先生,52,57,-23,天圣控股,化纤
文剑平,先生,61,57,-27,碧水源,污水处理
韩国龙家族,先生,68,56,-30,冠城大通,房地产、手表
侯春来家族,先生,54,56,New ~,中国春来,教育
李红兵,先生,57,56,New ~,养元饮品,饮料
刘爱森、李桂茹夫妇,先生,51,56,-291,森特股份,建筑装饰
孙成思,先生,35,56,New ~,佰维存储,半导体
涂建华,先生,54,56,19,广联达,软件与信息服务
杨云春,先生,54,56,New ~,赛微电子,MEMS芯片
郑树生,先生,57,56,131,迪普科技,软件开发
周贤海、王小丽夫妇,先生,62,56,-516,鼎胜实业,有色金属制品
陈鲁、哈承姝夫妇,先生,46,55,New ~,中科飞测,半导体
陈妙林,先生,71,55,-113,开元旅业,房地产
陈寅,先生,50,55,New ~,格力博,农用机械
陈育新、赵桂琴夫妇,先生,73,55,New ~,华西希望,畜牧业、教育
陈智胜,先生,50,55,-40,药明生物,生物医药
戴震,先生,45,55,131,能链,充电服务
杜锦豪、祁菊夫妇,先生,69,55,New ~,艾力斯,医药
范召林,先生,51,55,New ~,养元饮品,饮料
胡晓军、徐为夫妇,先生,62,55,-113,华夏航空,航空
胡宇航,先生,47,55,New ~,三七互娱,网络游戏
黄伟常家族,先生,72,55,37,六福,零售
吉学文,先生,61,55,-387,德方纳米,特种化工
金立国,先生,50,55,-189,怡合达,自动化设备
金亮,先生,46,55,37,天顺风能,风电设备
孔维,先生,58,55,-60,百克生物,疫苗
黎旭晖,女士,55,55,-347,海天味业,调味品
李朝旺,先生,65,55,37,维达国际,卫生用品
李捍雄、吴美容夫妇,先生,49,55,New ~,一品红,医药
