姓名,性别,年龄,财富值_人民币/亿元,排名变化,企业信息,所在行业
缪汉根、朱红梅夫妇,先生,58,390,-46,盛虹,印染、化纤、房地产
施永宏、李海燕夫妇,先生,53,390,40,海底捞,餐饮
赖梅松,先生,53,385,-2,中通,物流
沈文荣,先生,77,385,0,沙钢,钢铁
苏海文家族,先生,82,385,13,BW,物流
叶国富、杨云云夫妇,先生,46,385,585,名创优品,新零售
陈发树,先生,62,380,6,新华都,医药、零售、投资
简军,女士,60,375,-24,爱美客,生物制药
刘益谦家族,先生,60,375,8,新理益,投资
宋建波家族,先生,53,375,3,南山,铝业、纺织、房地产
胡凯军,先生,61,370,-3,远大,医药
刘伟,先生,36,370,412,米哈游,游戏
朱艳家族,先生,52,365,-14,贝壳,房地产服务
李贤义家族,先生,71,360,6,信义,玻璃
黄如论、黄涛家族,先生,72,355,5,世纪金源,房地产
阮洪良家族,先生,62,355,-20,福莱特,光伏材料
史玉柱、史静父女,先生,61,355,33,巨人,金融、在线游戏、投资
谢炳家族,先生,71,355,-12,中生制药,医药
修涞贵、李艳华夫妇,先生,68,355,105,修正药业,医药
张虔生家族,先生,79,355,94,日月光,工业品、房地产
陈华家族,先生,57,350,28,京基,房地产、投资
罗宇皓,先生,36,350,453,米哈游,游戏
赵燕家族,女士,56,350,-44,华熙国际,生物医药、房地产
蔡明兴家族,先生,66,345,129,富邦,金融服务
林斌,先生,55,345,39,小米,智能硬件与技术
吴向东,先生,53,345,111,华泽,酒业、投资
张宏伟,先生,69,345,9,东方,能源、零售
郭广昌,先生,56,340,-18,复星,投资
项光达,先生,65,340,-30,青山控股,钢铁
李义海、李鑫父子,先生,60,335,26,济民可信,医药
张志祥,先生,56,335,-17,建龙,钢铁、矿业、船运
易峥,先生,53,330,180,同花顺,软件
张道才家族,先生,73,330,-8,三花控股,工业设备、汽车零部件、房地产
蔡宏图家族,先生,71,325,36,霖园,金融服务
郭炳联家族,先生,71,325,9,新鸿基,房地产
郭基辉家族,先生,40,325,9,新鸿基,房地产
蒋卫平家族,先生,68,325,-77,天齐锂业,锂矿
孙寿宽,先生,74,325,-52,嘉晨,钢铁、耐火材料、煤化工
蔡明忠家族,先生,67,320,132,富邦,金融服务
陈金霞,女士,55,320,-10,涌金投资,医药、投资
陈凯旋、李若虹夫妇,先生,65,320,10,立白,日化用品
江南春,先生,50,320,57,分众传媒,数字新媒体、投资
孙广信,先生,61,315,-49,广汇,汽车销售、能源、房地产
陈志列、王蓉夫妇,先生,60,310,-17,研祥,特种计算机
高德康家族,先生,71,310,-29,波司登,服装
梁庆德家族,先生,86,310,-22,格兰仕,家电
何超琼,女士,61,305,37,信德、美高梅中国,博彩
霍斯特·帕德威尔家族,先生,78,305,-14,创科实业,消费品
崔根良、崔巍父子,先生,65,300,84,亨通,电缆、热能电力、投资
董建成家族,先生,80,300,12,东方海外,运输
赵涛家族,先生,57,295,9,步长,医药
董经贵、钱静红夫妇,先生,53,290,28,雅迪,电动车
王文京,先生,59,290,-6,用友,软件与信息服务
周建平家族,先生,62,290,15,海澜,服装、投资
傅利泉、陈爱玲夫妇,先生,56,285,122,大华技术,软件、电子通讯产品
李丐腾家族,先生,51,285,-5,飞科电器,小家电
米恩华,先生,65,285,38,华凌工贸,地产、畜牧
夏佐全,先生,60,285,-2,比亚迪,汽车、充电电池
尤小平家族,先生,65,285,5,华峰,化工、铝业、投资
蔡志明,先生,78,280,18,旭日国际,玩具
洪杰,先生,56,280,33,三棵树,涂料
李春安,先生,55,280,-24,隆基,硅材料
张红超,先生,45,280,7,蜜雪冰城,餐饮
张红甫,先生,38,280,7,蜜雪冰城,餐饮
曾芳勤,女士,58,275,61,领益智造,消费电子精密件
程雪,女士,53,275,-79,海天味业,调味品
王燕清家族,先生,57,275,40,先导智能,自动化设备
张茵家族,女士,66,275,-51,玖龙纸业,环保造纸
辜仲立家族,先生,56,270,-2,中信金控,金融服务
李华,先生,45,270,108,富途,金融服务
李留法、李凤娈夫妇,先生,64,270,19,天瑞,水泥、铝业
缪寿良,先生,68,270,-16,富源,房地产、水电
沈南鹏,先生,56,270,-16,红杉,投资
涂辉龙,先生,64,270,-29,海雅,商业、金融、地产
徐波,先生,46,270,9,多益网络,网络游戏
朱鼎健家族,先生,49,270,-16,观澜湖,房地产
朱义,先生,60,270,New ~,百利天恒,医药
高纪凡家族,先生,58,265,-116,天合光能,光伏产品
宿华,先生,41,265,-2,快手科技,传媒娱乐
梁丰、邵晓梅夫妇,先生,55,260,-48,璞泰来,锂电池材料
杨建文家族,先生,70,260,13,伯恩光学,工业产品
袁征家族,先生,53,260,0,zoom,视频软件
茅理翔家族,先生,82,255,33,方太厨具,厨具
吴以岭家族,先生,74,255,33,以岭,医药
喻会蛟家族,先生,54,255,-62,圆通速递,物流
钭正刚家族,先生,70,250,30,锦江,能源、化工
杜江涛、郝虹夫妇,先生,54,250,7,君正,能源化工
唐彬森,先生,41,250,-67,元气森林,饮料
许荣茂家族,先生,73,250,-76,世茂,房地产
许文龙家族,先生,95,250,-3,奇美,化工
叶澄海、廖清清夫妇,先生,80,250,19,信立泰,医药
张和君,先生,71,250,-126,德业股份,电器零部件制造
林鸿南家族,先生,56,245,33,宏泰,投资
徐金富,先生,59,245,-61,天赐材料,化学原料制品
陈大年,先生,45,240,-2,wifi万能钥匙,上网平台
李卫国,先生,58,240,-7,东方雨虹,防水材料
刘克振家族,先生,69,240,55,研华,电脑设备
孙纪木、孙春莉夫妇,先生,67,240,-12,新华联合冶金,钢铁
吴光明、吴群父子,先生,61,240,47,鱼跃医疗,医疗设备
谢良志、李翰园夫妇,先生,57,240,31,神州,生物制药
杨绍鹏,先生,67,240,8,海丰,航运
张磊,先生,51,240,-15,高瓴资本,投资
宋涛,先生,47,235,678,米哈游,游戏
汪建,先生,69,235,-64,华大基因、碳云,基因检测、医疗大数据
周晓萍家族,女士,62,235,10,星宇股份,汽车灯具
朱林瑶,女士,53,235,-16,华宝国际,香精香料、烟草
曹其峰,先生,77,230,-3,永新,杂货
季琦,先生,57,230,48,华住,连锁酒店
林书鸿,先生,95,230,8,长春,化工
安康家族,先生,74,225,-20,华兰生物,生物制药
倪祖根家族,先生,66,225,13,莱克电气,小家电
王麒诚、吴艳夫妇,先生,43,225,29,汉鼎宇佑,文化传媒、投资
严建亚、范代娣夫妇,先生,57,225,New ~,巨子生物,生物制药
黄文仔,先生,70,220,14,星河湾,房地产、投资
李仲初家族,先生,60,220,72,石基,软件与信息服务
倪永培,先生,71,220,220,迎驾,白酒
薛华,先生,53,220,-35,海大,饲料
周泽荣,先生,69,220,-13,侨鑫,房地产、投资
蔡镇宇,先生,70,215,18,宝丰隆,金融服务
邓伟明、吴小歌夫妇,先生,55,215,-103,中伟股份,工业产品
范现国、范明强父子,先生,63,215,18,今麦郎,速食
黄立、黄晟父子,先生,60,215,-57,高德电气,电子制造
冷友斌,先生,54,215,-31,中国飞鹤,乳业
彭国远,先生,37,215,53,心里程,教育、房地产
钱东奇、钱程父子,先生,65,215,-64,科沃斯,机器人
王正华、王煜父子,先生,79,215,53,春秋航空,航空
周鸿祎,先生,53,215,85,三六零安全科技,网络信息服务
曹德旺,先生,77,210,8,福耀玻璃,玻璃
陈永泰,先生,87,210,22,震旦,办公家具、房地产
程一笑,先生,38,210,8,快手科技,传媒娱乐
黄毅,先生,60,210,-58,中升控股,汽车销售
徐旭东,先生,82,210,-41,远东,金融服务
尹衍梁家族,先生,73,210,34,润泰,建筑开发、金融保险
郑崇华家族,先生,87,210,118,台达电子,半导体
朱共山家族,先生,65,210,-67,协鑫,太阳能芯片、发电厂
黄敏利、许慧卿夫妇,先生,58,205,26,敏华,休闲沙发
李良彬,先生,56,205,-106,赣锋锂业,有色金属冶炼加工
刘炽平,先生,50,205,48,腾讯,互联网服务
苏庆灿,先生,54,205,New ~,华厦眼科,医疗服务
