姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
钟睒睒,先生,68,中国-浙江-绍兴,,养生堂,中国-浙江-杭州,China-Zhejiang,饮料、医疗保健,1,0,4550.0,17%
张一鸣,先生,39,中国-福建-龙岩,本科,字节跳动,中国-北京,China-Beijing,社交媒体,2,0,2450.0,-28%
曾毓群,先生,54,中国-福建-宁德,博士,宁德时代,中国-福建-宁德,China-Fujian,锂电池,3,0,2300.0,-28%
李嘉诚,先生,94,中国-香港,,长江实业,中国-香港,China-Hong Kong,投资,4,4,2200.0,2%
马化腾,先生,51,中国-海南,本科,腾讯,中国-广东-深圳,China-Guangdong,互联网服务,5,-1,2150.0,-32%
丁磊,先生,51,中国-浙江-宁波,本科,网易,中国-浙江-杭州,China-Zhejiang,互联网技术,6,8,1950.0,14%
何享健,先生,80,中国-广东-佛山, ,美的,中国-广东-佛山,China-Guangdong,家电制造、房地产,7,2,1900.0,-11%
秦英林,先生,57,中国-河南-南阳,本科,牧原,中国-河南-南阳,China-Henan,畜牧,8,7,1850.0,9%
马云,先生,58,中国-浙江-杭州,本科,阿里系,中国-浙江-杭州,China-Zhejiang,电子商务、金融科技,9,-4,1800.0,-29%
黄峥,先生,42,中国-浙江-杭州,硕士,拼多多,中国-上海-长宁,China-Shanghai,购物网站,10,-4,1700.0,-26%
陈建华,先生,51,中国-江苏-苏州,硕士,恒力,中国-江苏-苏州,China-Jiangsu,化纤、石化、房地产,11,1,1500.0,-16%
刘永行,先生,74,中国-四川-成都,博士,东方希望,中国-上海-浦东,China-Shanghai,氧化铝、重化工、饲料,11,17,1500.0,15%
吕向阳,先生,59,中国-安徽-芜湖, ,融捷,中国-广东-广州,China-Guangdong,投资,11,14,1500.0,10%
李兆基,先生,94,中国-广东-佛山,,恒基兆业,中国-香港,China-Hong Kong,房地产,14,1,1450.0,-15%
王传福,先生,56,中国-安徽-芜湖,本科,比亚迪,中国-广东-深圳,China-Guangdong,汽车、充电电池,14,6,1450.0,2%
王卫,先生,52,中国-上海, ,顺丰,中国-广东-深圳,China-Guangdong,快递,14,-4,1450.0,-25%
严昊,先生,36,中国-江苏-淮安,本科,太平洋建设,中国-新疆-乌鲁木齐,China-Xinjiang,基础建设,14,16,1450.0,16%
郑家纯,先生,74,中国-香港,,周大福,中国-香港,China-Hong Kong,房地产,18,0,1400.0,-10%
李蔡美灵,先生,未知,中国-香港,,李锦记,中国-香港,China-Hong Kong,调味品,19,14,1350.0,13%
李书福,先生,59,中国-浙江-台州,博士,吉利,中国-浙江-杭州,China-Zhejiang,汽车制造,19,-6,1350.0,-23%
