姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
钟睒睒,先生,67,中国-浙江-绍兴,,养生堂,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料、医疗保健,1,2,3900.0,7%
张一鸣,先生,38,中国-福建-龙岩,本科,字节跳动,中国-北京,China-Beijing,社交媒体,2,28,3400.0,209%
曾毓群,先生,53,中国-福建-宁德,博士,宁德时代,中国-福建-宁德,China-Fujian-Ningde,锂电池,3,21,3200.0,167%
马化腾,先生,50,中国-海南,本科,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,互联网服务,4,-2,3170.0,-19%
马云,先生,57,中国-浙江-杭州,本科,阿里系,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务、金融科技,5,-4,2550.0,-36%
黄峥,先生,41,中国-浙江-杭州,硕士,拼多多,中国-上海-长宁,China-Shanghai-Changning,购物网站,6,2,2290.0,4%
魏建军,先生,57,中国-河北-保定, ,长城,中国-河北-保定,China-Hebei-Baoding,汽车制造,7,89,2180.0,384%
李嘉诚,先生,93,中国-香港,,长江实业,中国-香港,China-Hong Kong,投资,8,New,2150.0,New
何享健,先生,79,中国-广东-佛山, ,美的,中国-广东-佛山,China-Guangdong-Foshan,家电制造、房地产,9,-3,2130.0,-5%
王卫,先生,51,中国-上海, ,顺丰,中国-广东-深圳,China-Guangdong-Shenzhen,快递,10,-6,1930.0,-20%
杨惠妍,女士,40,中国-广东-佛山,本科,碧桂园,中国-广东-佛山,China-Guangdong-Foshan,房地产、教育,11,-5,1850.0,-18%
陈建华,先生,50,中国-江苏-苏州,硕士,恒力,中国-江苏-苏州,China-Jiangsu-Suzhou,化纤、石化、房地产,12,8,1790.0,33%
李书福,先生,58,中国-浙江-台州,博士,吉利,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造,13,11,1750.0,46%
丁磊,先生,50,中国-浙江-宁波,本科,网易,中国-浙江-杭州,China-Zhejiang-Hangzhou,互联网技术,14,-6,1710.0,-22%
李兆基,先生,93,中国-广东-佛山,,恒基兆业,中国-香港,China-Hong Kong,房地产,15,New,1700.0,New
秦英林,先生,56,中国-河南-南阳,本科,牧原,中国-河南-南阳,China-Henan-Nanyang,畜牧,15,-5,1700.0,-15%
庞康,先生,65,中国-广东-佛山,本科,海天味业,中国-广东-佛山,China-Guangdong-Foshan,调味品,17,-6,1580.0,-19%
郑家纯,先生,73,中国-香港,,周大福,中国-香港,China-Hong Kong,房地产,18,New,1550.0,New
王兴,先生,42,中国-福建-龙岩,本科,美团,中国-北京,China-Beijing,生活服务,19,-6,1460.0,-14%
王传福,先生,55,中国-安徽-芜湖,本科,比亚迪,中国-广东-深圳,China-Guangdong-Shenzhen,汽车、充电电池,20,63,1420.0,178%
蒋仁生,先生,68,中国-广西-桂林, ,智飞生物,中国-重庆,China-Chongqing,疫苗,21,-1,1400.0,4%
雷军,先生,52,中国-湖北-仙桃,本科,小米,中国-北京,China-Beijing,智能硬件与技术、投资,21,-8,1400.0,-18%
罗立国,先生,65,中国-浙江-宁波, ,合盛,中国-浙江-宁波,China-Zhejiang-Ningbo,硅材料,21,220,1400.0,551%
黄世霖,先生,54,中国-福建-宁德,本科,宁德时代,中国-福建-宁德,China-Fujian-Ningde,锂电池,24,51,1380.0,151%
吕向阳,先生,58,中国-安徽-芜湖, ,融捷,中国-广东-广州,China-Guangdong-Guangzhou,投资,25,59,1360.0,172%
陈邦,先生,56,中国-湖南-长沙,硕士,爱尔眼科,中国-湖南-长沙,China-Hunan-Changsha,医疗服务,26,15,1350.0,35%
刘强东,先生,47,中国-江苏-宿迁,本科,京东,中国-北京,China-Beijing,电子商务、金融,26,-10,1350.0,-16%
刘永行,先生,73,中国-四川-成都,博士,东方希望,中国-上海-浦东,China-Shanghai-Pudong,氧化铝、重化工、饲料,28,2,1300.0,18%
张志东,先生,49,中国-广东-东莞,硕士,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,互联网服务,29,-16,1270.0,-25%
李小冬,先生,43,,,冬海集团,新加坡,Singapore,网络游戏、电商,30,38,1250.0,108%
刘汉元,先生,57,中国-四川-眉山,,通威,中国-四川-成都,China-Sichuan-Chengdu,新能源、农业,30,33,1250.0,98%
严昊,先生,35,中国-江苏-淮安,本科,太平洋建设,中国-新疆-乌鲁木齐,China-Xinjiang-Urumchi,基础建设,30,-12,1250.0,-14%
李蔡美灵,先生,未知,中国-香港,,李锦记,中国-香港,China-Hong Kong,食品加工,33,New,1200.0,New
宗庆后,先生,76,中国-江苏-宿迁, ,娃哈哈,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料,33,3,1200.0,14%
徐航,先生,59,中国-广东,本科,迈瑞、鹏瑞,中国-广东-深圳,China-Guangdong-Shenzhen,医疗器械、房地产,35,-11,1180.0,-2%
王文银,先生,53,中国-安徽-安庆,本科,正威,中国-广东-深圳,China-Guangdong-Shenzhen,有色金属,36,0,1160.0,10%
李西廷,先生,70,中国-安徽-宿州,本科,迈瑞,中国-广东-深圳,China-Guangdong-Shenzhen,医疗器械,37,-10,1150.0,0%
严彬,先生,67,中国-山东-莱州, ,华彬,中国-北京,China-Beijing,饮料、地产,37,-7,1150.0,5%
吴光正,先生,75,中国-上海,,会德丰,中国-香港,China-Hong Kong,房地产,39,New,1100.0,New
许荣茂,先生,71,中国-福建-泉州, ,世茂,中国-上海-黄浦,China-Shanghai-Huangpu,房地产,40,-17,1080.0,-17%
刘永好,先生,70,中国-四川-成都, ,新希望,中国-四川-成都,China-Sichuan-Chengdu,农业、化工、金融,41,-25,1050.0,-34%
王健林,先生,67,中国-四川-绵阳,本科,万达,中国-北京,China-Beijing,房地产、文化,41,-11,1050.0,-5%
李水荣,先生,65,中国-浙江, ,荣盛控股,中国-浙江-杭州,China-Zhejiang-Hangzhou,化纤,43,14,1030.0,58%
郑淑良,先生,75,中国-山东, ,魏桥创业,中国-山东-滨州,China-Shandong-Binzhou,铝业、纺织,43,16,1030.0,61%
党彦宝,先生,48,,本科,宝丰,宁夏-银川,Ningxia-Yinchuan,煤化工,45,5,1000.0,43%
陈东升,先生,64,中国-湖北-荆门,博士,泰康,中国-北京,China-Beijing,保险,46,17,950.0,51%
吴亚军,女士,57,中国-重庆,本科,龙湖,中国-北京,China-Beijing,房地产,46,-16,950.0,-14%
张勇,先生,50,中国-四川-成都, ,海底捞,中国-北京,China-Beijing,餐饮,46,-35,950.0,-51%
裴振华,先生,未知,,,天华超净,中国-江苏-苏州,China-Jiangsu-Suzhou,超净产品,49,106,920.0,192%
袁征,先生,51,中国-山东,硕士,zoom,美国-旧金山,United States-San Francisco,视频软件,50,-20,905.0,-18%
龚虹嘉,先生,56,,本科,海康威视,中国-浙江-杭州,China-Zhejiang-Hangzhou,视频监控产品,51,-1,900.0,29%
刘銮雄,先生,70,中国-香港,,华人置业,中国-香港,China-Hong Kong,房地产,51,New,900.0,New
其实,先生,51,中国-上海,博士,东方财富,中国-上海-徐汇,China-Shanghai-Xuhui,信息服务,51,17,900.0,50%
李振国,先生,53,中国-甘肃-兰州,硕士,隆基,中国-陕西-西安,China-Shaanxi-Xi'an,硅材料,54,36,885.0,86%
