姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
王健林,先生,62,中国-四川-绵阳,本科,万达,中国-北京,China-Beijing,房地产、文化,1,0,2150.0,-2%
马云,先生,52,中国-浙江-杭州,本科,阿里巴巴、蚂蚁金服,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务、金融服务,2,0,2050.0,41%
马化腾,先生,45,中国-海南,本科,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,IT、娱乐,3,1,1650.0,38%
姚振华,先生,46,中国-广东-汕头,本科,宝能,中国-广东-深圳,China-Guangdong-Shenzhen,投资、房地产,4,227,1150.0,820%
宗庆后,先生,71,中国-江苏-宿迁, ,娃哈哈,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料,5,-2,1120.0,-17%
严昊,先生,30,中国-江苏-淮安,本科,苏太华系,中国-江苏-南京,China-Jiangsu-Nanjing,基础建设,6,0,1000.0,10%
丁磊,先生,45,中国-浙江-宁波,本科,网易,中国-广东-广州,China-Guangdong-Guangzhou,IT、娱乐,6,10,1000.0,96%
李彦宏,先生,48,中国-山西-阳泉,硕士,百度,中国-北京,China-Beijing,搜索引擎,8,-1,980.0,15%
卢志强,先生,64,中国-山东-威海,硕士,泛海,中国-北京,China-Beijing,房地产、金融、投资,9,-1,850.0,2%
许家印,先生,58,中国-河南-周口,硕士,恒大,中国-广东-广州,China-Guangdong-Guangzhou,房地产、投资,10,3,780.0,30%
何享健,先生,74,中国-广东-佛山, ,美的,中国-广东-佛山,China-Guangdong-Foshan,家电制造,10,3,780.0,30%
严彬,先生,62,中国-山东-莱州, ,华彬,中国-北京,China-Beijing,饮料、地产、投资,10,0,780.0,20%
张近东,先生,53,中国-江苏-南京,本科,苏宁,中国-江苏-南京,China-Jiangsu-Nanjing,零售、房地产,10,-1,780.0,-4%
王文银,先生,48,中国-安徽-安庆,本科,正威,中国-广东-深圳,China-Guangdong-Shenzhen,有色金属、半导体,14,1,650.0,18%
雷军,先生,47,中国-湖北-仙桃,本科,小米,中国-北京,China-Beijing,手机制造、投资,14,-9,650.0,-29%
张士平,先生,未知,中国-山东-滨州, ,魏桥创业,中国-山东-滨州,China-Shandong-Binzhou,纺织、铝业,16,4,610.0,26%
张志东,先生,44,中国-广东-东莞,硕士,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,IT、娱乐,17,14,560.0,42%
鲁冠球,先生,71,,,万向,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造业、房地产、农业,18,-8,550.0,-15%
史玉柱,先生,54,中国-安徽-蚌阜,本科,巨人,中国-上海,China-Shanghai,金融、在线游戏、投资,19,14,540.0,42%
陈丽华,女士,75,中国-北京,博士,富华,中国-北京,China-Beijing,房地产、紫檀博物馆,20,-1,505.0,2%
许荣茂,先生,66,中国-福建-泉州, ,世茂,中国-上海,China-Shanghai,房地产,21,20,500.0,43%
杨惠妍,女士,35,中国-广东-佛山,本科,碧桂园,中国-广东-佛山,China-Guangdong-Foshan,房地产,22,8,485.0,20%
王文学,先生,49,中国-河北-廊坊, ,华夏幸福,中国-北京,China-Beijing,房地产,22,-1,485.0,1%
刘永行,先生,68,中国-四川-成都,博士,东方希望,中国-上海,China-Shanghai,氧化铝、重化工、饲料,24,5,470.0,12%
周群飞,女士,46,中国-湖南-湘潭, ,蓝思科技,中国-湖南-长沙,China-Hunan-Changsha,电子器件制造,25,-8,460.0,-8%
刘强东,先生,42,中国-江苏-宿迁,本科,京东,中国-北京,China-Beijing,电子商务,26,2,455.0,2%
许世辉,先生,59,中国-福建-泉州, ,达利食品,中国-福建-泉州,China-Fujian-Quanzhou,食品,27,235,450.0,291%
郭广昌,先生,49,中国-浙江-金华,硕士,复星,中国-上海,China-Shanghai,投资、钢铁、医药,28,-11,445.0,-11%
孙飘扬,先生,58,中国-江苏-镇江,硕士,恒瑞制药、豪森制药,中国-江苏-连云港,China-Jiangsu-Lianyungang,医药,28,55,445.0,93%
刘永好,先生,65,中国-四川-成都, ,新希望,中国-四川-成都,China-Sichuan-Chengdu,农业、化工、金融,30,-5,425.0,-6%
贾跃亭,先生,43,中国-山西-临汾, ,乐视,中国-北京,China-Beijing,影视娱乐、IT,31,-6,420.0,-13%
李河君,先生,49,中国-广东-河源,博士,汉能,中国-北京,China-Beijing,太阳能、风电、水电,32,-20,400.0,-37%
袁亚非,先生,52,,,三胞,中国-江苏-南京,China-Jiangsu-Nanjing,IT连锁、房地产、投资,32,5,400.0,8%
李金元,先生,58,中国-河北-沧州, ,天狮,中国-天津,China-Tianjin,保健品,32,1,400.0,5%
肖建华,先生,45,中国-山东-泰安,本科,明天,中国-香港,China-Hong Kong,金融、投资,32,"1,419",400.0,67%
魏建军,先生,52,中国-河北-保定, ,长城,中国-河北-保定,China-Hebei-Baoding,汽车,36,-4,395.0,1%
王玉锁,先生,52,中国-河北-廊坊,硕士,新奥,中国-河北-廊坊,China-Hebei-Langfang,天然气、能源化工,37,12,370.0,23%
潘政民,先生,49,中国-江苏,本科,瑞声科技,中国-广东-深圳,China-Guangdong-Shenzhen,声学科技,38,63,365.0,83%
吕向阳,先生,53,中国-安徽-芜湖, ,融捷投资,中国-广东-广州,China-Guangdong-Guangzhou,投资,39,3,360.0,4%
龚虹嘉,先生,51,,本科,海康威视,中国-浙江-杭州,China-Zhejiang-Hangzhou,视频监控产品,39,6,360.0,13%
王传福,先生,50,中国-安徽-芜湖,本科,比亚迪,中国-广东-深圳,China-Guangdong-Shenzhen,汽车、手机零部件、充电电池,41,-5,355.0,-5%
周建平,先生,55,中国-江苏-无锡, ,海澜,中国-江苏-无锡,China-Jiangsu-Wuxi,服装、投资,41,-17,355.0,-23%
江南春,先生,43,中国-上海,本科,分众传媒,中国-上海,China-Shanghai,数字新媒体、投资,43,124,350.0,133%
刘益谦,先生,53,中国-上海, ,新理益,中国-上海,China-Shanghai,投资,44,76,345.0,92%
孙广信,先生,54,中国-新疆-乌鲁木齐,硕士,广汇 ,中国-新疆-乌鲁木齐,China-Xinjiang-Urumqi,汽车销售、能源、房地产,45,-20,340.0,-24%
马兴田,先生,47,中国-广东-揭阳, ,康美药业,中国-广东-揭阳,China-Guangdong-Jieyang,医药,46,1,330.0,6%
吴亚军,女士,52,中国-重庆,本科,龙湖,中国-北京,China-Beijing,房地产,46,14,330.0,22%
梁稳根,先生,60,中国-湖南-娄底,本科,三一,中国-北京,China-Beijing,重型机械,48,-15,320.0,-16%
张茵,女士,59,中国-广东-韶关,本科,玖龙纸业,中国-广东-东莞,China-Guangdong-Dongguan,环保,49,13,310.0,17%
李书福,先生,53,中国-浙江-台州,博士,吉利控股,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造,50,29,305.0,30%
孙喜双,先生,63,中国-吉林, ,一方,中国-北京,China-Beijing,房地产、投资,50,15,305.0,17%
阎志,先生,44,中国-湖北-黄冈,硕士,卓尔,中国-湖北-武汉,China-Hubei-Wuhan,房地产、投资,50,156,305.0,126%
赵涛,先生,50,中国-陕西-西安,硕士,步长,中国-北京,China-Beijing,医药,53,67,300.0,67%
方威,先生,43,中国-辽宁-沈阳, ,方大,中国-北京,China-Beijing,碳素、钢铁、煤焦,53,-13,300.0,-17%
张峻,先生,未知,中国-广东-揭阳, ,富德,中国-广东-深圳,China-Guangdong-Shenzhen,金融、房地产,53,252,300.0,200%
周晓光,先生,54,,,新光控股,中国-浙江-金华,China-Zhejiang-Jinhua,饰品、房地产、投资,53,12,300.0,15%
陈建华,先生,45,中国-江苏-苏州,硕士,恒力,中国-江苏-苏州,China-Jiangsu-Suzhou,化纤、石化、房地产,57,-8,290.0,-3%
黄伟,先生,57,中国-浙江-温州,本科,新湖,中国-浙江-杭州,China-Zhejiang-Hangzhou,房地产、金融,57,-20,290.0,-22%
徐镜人,先生,72,中国-江苏-泰州, ,扬子江药业,中国-江苏-泰州,China-Jiangsu-Taizhou,医药,57,59,290.0,57%
车建兴,先生,50,中国-江苏-常州, ,红星美凯龙,中国-上海,China-Shanghai,家具连锁,60,-11,285.0,-5%
朱孟依,先生,57,中国-广东-梅州, ,合生创展,中国-广东-广州,China-Guangdong-Guangzhou,房地产、投资,61,-12,280.0,-7%
宋作文,先生,69,中国-山东-烟台, ,南山,中国-山东-烟台,China-Shandong-Yantai,铝业、纺织、房地产,61,89,280.0,75%
姜照柏,先生,53,中国-江苏-南通, ,鹏欣,中国-上海,China-Shanghai,乳业、房地产、投资,63,12,270.0,13%
池宇峰,先生,45,中国-湖北,硕士,完美世界,中国-北京,China-Beijing,网游、影视娱乐,64,New,265.0,New
肖永明,先生,52,中国-四川-资阳, ,藏格钾肥,中国-青海-格尔木,China-Qinghai-Golmud,钾肥,64,539,265.0,342%
郑跃文,先生,54,中国-福建-福州,博士,科瑞,中国-北京,China-Beijing,生物制药、投资,66,-45,260.0,-46%
朱共山,先生,58,中国-江苏-盐城,博士,保利协鑫,中国-香港,China-Hong Kong,太阳能芯片、发电厂,66,54,260.0,44%
陈东升,先生,59,中国-湖北-荆门,博士,泰康、嘉德,中国-北京,China-Beijing,拍卖、保险,66,459,260.0,300%
杨凯,先生,未知,,,辉山乳业,中国-辽宁-沈阳,China-Liaoning-Shenyang,乳制品,66,122,260.0,86%
邱光和,先生,65,中国-浙江-温州, ,森马,中国-浙江-温州,China-Zhejiang-Wenzhou,服装,66,-9,260.0,-5%
庞康,先生,60,中国-广东-佛山,本科,海天味业,中国-广东-佛山,China-Guangdong-Foshan,食品,71,-9,255.0,-4%
马建荣,先生,51,中国-浙江, ,申洲针织,中国-浙江-宁波,China-Zhejiang-Ningbo,纺织、服装,71,16,255.0,16%
王广西,先生,47,,,永泰,中国-北京,China-Beijing,能源,73,-36,250.0,-32%
熊续强,先生,未知,中国-浙江,,银亿,中国-浙江-宁波,China-Zhejiang-Ningbo,房地产、矿业、投资,73,1,250.0,2%
王麒诚,先生,36,中国-浙江-杭州,本科,汉鼎宇佑,中国-浙江-杭州,China-Zhejiang-Hangzhou,数字城市、移动互联、文化传媒、金融控股、资产管理,75,102,245.0,69%
耿建明,先生,54,中国-江苏-南京,博士,荣盛,中国-河北-廊坊,China-Hebei-Langfang,房地产,75,-18,245.0,-11%
汪滔,先生,36,中国-浙江-杭州,本科,大疆创新,中国-广东-深圳,China-Guangdong-Shenzhen,无人飞机,77,10,240.0,9%
林秀成,先生,61,中国-福建-泉州, ,三安,中国-福建-厦门,China-Fujian-Xiamen,LED,77,-34,240.0,-29%
其实,先生,46,中国-上海,博士,东方财富,中国-上海,China-Shanghai,信息服务,79,-26,235.0,-19%
陈发树,先生,55,中国-福建-泉州, ,新华都,中国-福建-福州,China-Fujian-Fuzhou,零售、矿、投资,79,-22,235.0,-15%
