姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
王健林,先生,61,中国-四川-绵阳,本科,万达,中国-北京,China-Beijing,房地产、文化,1,1,2200.0,52%
马云,先生,51,中国-浙江-杭州,本科,阿里巴巴、蚂蚁金服,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务、金融服务,2,-1,1450.0,-3%
宗庆后,先生,70,中国-江苏-宿迁, ,娃哈哈,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料,3,0,1350.0,8%
马化腾,先生,44,中国-海南,本科,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,IT、娱乐,4,1,1200.0,11%
雷军,先生,46,中国-湖北-仙桃,本科,小米,中国-北京,China-Beijing,手机、投资,5,5,920.0,104%
严昊,先生,29,中国-江苏-淮安,本科,苏太华系,中国-江苏-南京,China-Jiangsu-Nanjing,基础建设,6,1,910.0,7%
李彦宏,先生,47,中国-山西-阳泉,硕士,百度,中国-北京,China-Beijing,搜索引擎,7,-1,850.0,-19%
卢志强,先生,63,中国-山东-威海,硕士,泛海,中国-北京,China-Beijing,房地产、金融、投资,8,16,830.0,137%
张近东,先生,52,中国-江苏-南京,本科,苏宁云商,中国-江苏-南京,China-Jiangsu-Nanjing,零售、房地产,9,2,810.0,84%
鲁冠球,先生,70,,,万向,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造业、房地产、农业,10,9,650.0,65%
严彬,先生,61,中国-山东-莱州, ,华彬,中国-北京,China-Beijing,饮料、地产、投资,10,-2,650.0,8%
李河君,先生,48,中国-广东-河源,博士,汉能,中国-北京,China-Beijing,太阳能、水电,12,-9,630.0,-50%
何享健,先生,73,中国-广东-佛山, ,美的,中国-广东-佛山,China-Guangdong-Foshan,家电制造,13,3,600.0,46%
许家印,先生,57,中国-河南-周口,硕士,恒大,中国-广东-广州,China-Guangdong-Guangzhou,房地产、投资,13,2,600.0,43%
王文银,先生,47,中国-安徽-安庆,本科,正威,中国-广东-深圳,China-Guangdong-Shenzhen,有色金属、半导体,15,-1,550.0,28%
丁磊,先生,44,中国-浙江-宁波,本科,网易,中国-广东-广州,China-Guangdong-Guangzhou,IT、娱乐,16,7,510.0,44%
郭广昌,先生,48,中国-浙江-金华,硕士,复星,中国-上海,China-Shanghai,投资、钢铁、医药,17,15,500.0,79%
周群飞,女士,45,中国-湖南-湘潭, ,蓝思科技,中国-湖南-长沙,China-Hunan-Changsha,电子器件制造,17,New,500.0,New
陈丽华,女士,74,中国-北京,博士,富华,中国-北京,China-Beijing,房地产、紫檀博物馆,19,-2,495.0,24%
张士平,先生,未知,中国-山东-滨州, ,魏桥创业,中国-山东-滨州,China-Shandong-Binzhou,纺织、铝业,20,-9,485.0,10%
郑跃文,先生,53,中国-福建-福州,博士,科瑞,中国-北京,China-Beijing,生物制药、投资,21,102,480.0,284%
王文学,先生,48,中国-河北-廊坊, ,华夏幸福,中国-北京,China-Beijing,房地产,21,19,480.0,118%
王靖,先生,未知,,,信威,中国-北京,China-Beijing,无线通信,21,91,480.0,269%
周建平,先生,54,中国-江苏-无锡, ,海澜,中国-江苏-无锡,China-Jiangsu-Wuxi,服装、投资,24,8,460.0,64%
刘永好,先生,64,中国-四川-成都, ,新希望,中国-四川-成都,China-Sichuan-Chengdu,农业、化工、金融,25,5,450.0,55%
孙广信,先生,53,中国-新疆-乌鲁木齐,硕士,广汇,中国-新疆-乌鲁木齐,China-Xinjiang-Urumqi,汽车销售、能源、房地产,25,13,450.0,91%
贾跃亭,先生,42,中国-山西-临汾, ,乐视,中国-北京,China-Beijing,IT,25,26,450.0,137%
刘强东,先生,41,中国-江苏-宿迁,本科,京东,中国-北京,China-Beijing,电子商务,28,-19,445.0,-16%
刘永行,先生,67,中国-四川-成都,博士,东方希望,中国-上海,China-Shanghai,氧化铝、重化工、饲料,29,-9,420.0,11%
杨惠妍,女士,34,中国-广东-佛山,本科,碧桂园,中国-广东-佛山,China-Guangdong-Foshan,房地产,30,-19,405.0,-8%
张志东,先生,43,中国-广东-东莞,硕士,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,IT、娱乐,31,-10,395.0,5%
