排名1,财富值_人民币/亿元,排名变化,个人信息3,性别,年龄,公司名称,所在行业
585,100,-306,史贵禄家族,先生,58,荣民,房地产
585,100,118,宋飞家族,先生,57,艾迪精密,机械制造
585,100,-21,苏志刚,先生,65,长隆,旅游
585,100,-154,谭炳照家族,先生,59,敏捷,房地产
585,100,-112,汤晓鸥,先生,54,商汤科技,人工智能
585,100,-112,童锦泉,先生,68,长峰房地产,房地产
585,100,78,王文渊家族,先生,76,台塑,化工
585,100,New ~,吴忌寒,先生,37,比特小鹿,芯片、矿机
585,100,-21,吴尚志,先生,73,鼎晖,投资
585,100,-91,项光通,先生,未知,青山控股,钢铁
585,100,36,徐少春,先生,60,金蝶国际,财务软件
585,100,5,许月娟,先生,未知,荣盛控股,化纤
585,100,36,杨冰,先生,38,得物,电商
585,100,465,钟英武,先生,38,趣加科技,游戏
585,100,-91,周庆治家族,先生,68,南都,电池、投资
630,98,30,应书岭,先生,42,英雄互娱,电竞游戏
630,98,214,张邦鑫,先生,43,好未来,教育
632,97,262,昌敬,先生,41,石头科技,智能机器人
632,97,163,刘庆峰,先生,50,科大讯飞,软件和信息技术服务业
634,96,-96,潘刚,先生,53,伊利,乳制品
635,95,68,陈得福家族,先生,75,仙妮雷德,医疗保健
635,95,-45,杜伟民,先生,60,康泰生物,生物医药
635,95,-45,高毅,先生,55,益丰药房,医药零售
635,95,-14,何朝曦,先生,49,深信服,应用软件服务
635,95,-14,黄建勲,先生,58,联泰,基础建设、房地产
635,95,68,黄仕坤,先生,未知,金雅福,金饰
635,95,-45,柯为湘,先生,72,保利达,房地产
635,95,New ~,李国库,先生,未知,千喜鹤,餐饮
635,95,105,李金阳,女士,未知,赤峰黄金,金矿
635,95,-14,陆兆禧,先生,54,阿里系,电子商务、金融科技
635,95,New ~,彭永鹤,先生,54,新瑞鹏,宠物医院
635,95,492,饶微家族,先生,59,新产业,医疗器械
635,95,68,荣智健,先生,81,中信泰富,投资、房地产
635,95,158,苏纯兴家族,先生,未知,和泰汽车,汽车零售
635,95,68,孙惠刚,先生,未知,万华化学,投资
635,95,160,王恒家族,先生,75,金鹰,零售、房地产
635,95,-162,王敏文,先生,60,立昂微,半导体
635,95,107,吴东进家族,先生,78,新光,金融、医院
635,95,-178,谢菊华家族,先生,72,健友股份,原料药
635,95,68,徐国忠家族,先生,60,江苏国茂,设备制造
635,95,209,张洪本,先生,77,日月光,工业品、房地产
635,95,-71,张涛,先生,51,美团,生活服务
635,95,28,周镇科,先生,48,大晟文化,文化娱乐
635,95,160,卓志哲,先生,未知,联发科技,半导体
666,94,123,甘忠如,先生,75,甘李药业,生物制药
669,90,-238,白宝鲲,先生,53,坚朗五金,高端建筑五金
669,90,New ~,丁永强,先生,43,古瑞瓦特,光伏设备
669,90,-48,段永平,先生,62,步步高,投资
669,90,-48,焦震,先生,57,鼎晖,投资
669,90,126,梁安琪,女士,62,澳博,博彩
669,90,-48,梁信军,先生,55,-,投资
669,90,369,卢竑岩,先生,46,吉比特,网络技术
669,90,-6,秦龙,先生,58,森麒麟,轮胎
669,90,-79,谭莉莉,先生,未知,海大,饲料
669,90,552,汪力成,先生,63,华立,医药、投资
669,90,34,王晖家族,先生,62,盛美半导体,半导体
669,90,-79,王吉雷,先生,58,中通,快递
669,90,-105,王明鎏,先生,40,毛球科技,投资、区块链、游戏
669,90,74,王文潮家族,先生,72,台塑,化工
669,90,34,王文杉家族,先生,53,联合报业,媒体
669,90,175,王义平家族,先生,62,继峰股份,汽车零部件
669,90,174,吴东亮家族,先生,未知,新光,金融
669,90,458,吴礼淦家族,先生,82,沪电股份,印制电路板
669,90,New ~,谢岳荣家族,先生,59,箭牌家居,建筑陶瓷
669,90,168,徐勇,先生,59,百度,网络信息服务
669,90,232,易贤忠家族,先生,64,百奥泰,生物医药
669,90,34,袁莉萍,先生,52,康泰生物,生物医药
669,90,-155,张近东,先生,60,苏宁,零售、房地产
669,90,-131,张学政,先生,48,闻泰科技,半导体
669,90,74,周剑,先生,47,优必选,机器人
702,88,-2,张大中,先生,75,大中,投资
706,85,-3,陈德军,先生,53,申通快递,物流
706,85,New ~,陈文平,先生,46,赛维时代,跨境电商
706,85,-437,陈雪华,先生,62,华友钴业,有色金属
706,85,-85,管毅宏,先生,54,九毛九,餐饮
706,85,37,郭建刚家族,先生,57,新宝电器,小家电
706,85,89,黄民奇,先生,71,汉辰科技,半导体
706,85,89,江南,先生,60,圣丰,房地产、工业制造
706,85,-85,井贤栋,先生,51,阿里系,电子商务、金融科技
706,85,37,柯尊洪家族,先生,69,康弘药业,制药
706,85,-43,刘方毅,先生,53,英科医疗,医疗器械
706,85,89,刘銮鸿,先生,70,利福国际,房地产
706,85,-43,卢宗俊,先生,60,中谷物流,物流
706,85,138,陆风,先生,55,万得资讯,数据服务
706,85,-192,吕建明,先生,58,通策医疗,医疗器械
706,85,37,聂云宸,先生,32,喜茶,餐饮
706,85,340,乔志涌家族,先生,59,侨源股份,液态气体
706,85,New ~,秦华,先生,55,乖宝宠物,宠物食品
706,85,-419,邵建雄,先生,59,禾迈股份,光伏逆变器
706,85,-3,孙毅,先生,56,浙富控股,清洁能源装备
706,85,37,陶意,先生,未知,波克,游戏
706,85,37,王信文,先生,36,莉莉丝,游戏
706,85,-142,王泽龙,先生,未知,中核钛白,钛白粉
706,85,-3,吴凯庭家族,先生,未知,万利达,电子信息产品
706,85,-142,吴仲毅,先生,50,亿联网络,通信
706,85,421,伍超群,先生,54,千禾味业,食品
706,85,-85,徐冠巨,先生,62,传化,化工、农业、投资
706,85,-43,徐万茂家族,先生,78,华茂,文具、教育、房地产、金融
706,85,332,张恭运,先生,60,豪迈科技,机械制造
706,85,37,张晋芳,先生,38,集创北方,集成电路
706,85,344,张镇潮,先生,56,税友股份,财税软件
706,85,271,庄奎龙家族,先生,61,新凤鸣,化纤
748,82,-5,苗拥军,先生,56,安图生物,医药制造业
748,82,-5,申东日家族,先生,51,朗姿,服装
748,82,-210,赵鹏,先生,53,BOSS直聘,招聘网站
751,81,196,洪锋,先生,未知,小米,智能硬件与技术
751,81,-48,孙喜双家族,先生,70,一方,房地产、投资
751,81,-11,朱一明,先生,51,兆易创新,芯片研发
755,80,146,蔡镇球家族,先生,58,霖园,金融服务
755,80,-191,曹克坚,先生,61,开山控股,压缩机
755,80,-12,陈仕荣家族,先生,未知,丰泰,运动鞋
755,80,-12,褚健,先生,60,中控技术,软件系统
755,80,-92,戴文军,先生,55,绝味,食品
755,80,-12,邓颖忠家族,先生,72,中顺洁柔,生活用纸
755,80,-165,刁志中,先生,60,广联达,软件与信息服务
755,80,40,方同华家族,先生,60,珍宝岛药业,医药
755,80,40,侯昌财,先生,67,源昌,房地产
755,80,-217,黄敏,先生,50,固德威,光伏逆变器
755,80,89,黄小芬家族,女士,60,景旺电子,印刷电路板
755,80,89,黄子欣,先生,74,伟易达,消费品
755,80,-12,柯希平,先生,63,恒兴实业,投资、地产
755,80,40,赖苗,先生,未知,景田,饮料
755,80,-134,李登海,先生,74,登海种业,农业
755,80,146,李东生,先生,66,TCL,家用电器及半导体产品
755,80,New ~,李完小家族,先生,57,航天环宇,航空设备
755,80,-12,李晓林,先生,70,林达,房地产、投资
755,80,40,林海川家族,先生,51,宏川,仓储物流
755,80,-217,刘伟,先生,58,佳都科技,软件和信息技术
755,80,-134,潘龙泉,先生,60,泉峰,电动工具
755,80,372,饶军,先生,未知,Confluent,软件服务
755,80,-52,阮水龙家族,先生,88,龙盛,化工、钢铁
755,80,-134,孙勇坚,先生,57,宝矿,地产、贸易
755,80,-134,王建东,先生,51,中建融东,钢铁
755,80,40,王仕锐,先生,36,医联,医疗服务
755,80,-356,王正根,先生,51,迈为股份,智能制造装备
755,80,89,魏学专,先生,70,汇丰石化,化工
755,80,263,夏曙东,先生,51,千方科技,智能交通
755,80,-12,熊武,先生,47,深信服,应用软件服务
755,80,New ~,徐旭阳,先生,52,普瑞眼科,医疗服务
755,80,New ~,闫洪嘉,先生,43,宇泽,新能源
755,80,38,严俊旭,先生,54,天顺风能,风电设备、船舶设备
755,80,-92,张伟祥,先生,未知,建龙,钢铁、矿业、船运
755,80,263,张新,先生,61,特变电工,电气机械和器材制造
755,80,-92,张轩松,先生,52,永辉,超市零售
755,80,146,赵彤彤,先生,未知,华住,连锁酒店
755,80,222,钟培峰家族,先生,60,晶晨股份,电子
755,80,89,卓军,女士,未知,景旺电子,印刷电路板
804,79,214,黄江吉,先生,未知,小米,智能硬件与技术
804,79,214,黎万强,先生,46,小米,智能硬件与技术
804,79,-104,李小明,先生,62,帝海,房地产
804,79,173,周旭明家族,先生,50,科思股份,化学品原料
808,78,32,包松安,先生,未知,亿联投资,房地产、投资
808,78,New ~,王斌,先生,37,书亦餐饮,餐饮连锁
808,78,210,徐进,先生,58,口子窖,白酒
811,77,-114,陈泽民家族,先生,80,三全食品,食品
811,77,-148,王慧文,先生,45,美团,生活服务
813,75,-340,白厚善,先生,59,容百控股,锂电池材料
813,75,88,蔡其瑞家族,先生,72,宝成,服装
813,75,225,程先锋,先生,55,亿帆鑫富,医药
813,75,31,冯国纶,先生,75,利丰,物流
813,75,-223,葛志勇,先生,53,奥特维,光伏设备
813,75,New ~,何中林,先生,55,融通,锂电池材料
813,75,141,黄关林,先生,57,申洲针织,纺织、服装
813,75,31,柯康保家族,先生,60,大参林,医药
813,75,-18,李保平家族,先生,63,黄河矿业,煤炭
813,75,-70,李阔,先生,未知,白贝壳,母婴产品
813,75,31,李平,先生,59,天高,矿业开发、冶金贸易
813,75,-275,李水波家族,先生,67,新莱洁净,洁净系统部件
813,75,81,李添财,先生,85,金车,食品饮料
813,75,-192,梁桐灿,先生,未知,宏宇,建筑陶瓷
813,75,237,刘宝林,先生,70,九州通,医药流通
813,75,237,刘国伟,先生,51,汇川技术,工业自动化产品
813,75,-192,任晋生家族,先生,61,先声药业,生物医药
813,75,-18,邵晓峰,先生,58,阿里系,电子商务、金融科技
813,75,-70,盛百椒,先生,71,百丽,鞋业
813,75,164,唐晔,先生,42,柏楚电子,信息技术
813,75,-18,王富济,先生,未知,片仔癀,医药
813,75,-299,王晓申,先生,55,赣锋锂业,有色金属冶炼加工
813,75,79,吴宝田家族,先生,72,丽宝,房地产、酒店
813,75,-223,吴城,先生,未知,国城,矿业
813,75,New ~,熊小川,先生,57,美好创亿,医疗机械
813,75,-70,徐观宝,先生,66,传化,化工、农业、投资
813,75,-299,薛济萍,先生,72,中天科技,电缆
813,75,-192,杨浩涌,先生,49,车好多,汽车服务
813,75,-70,姚俊良,先生,70,美锦能源,煤炭
813,75,88,张天瑜,先生,56,广和通,通信设备
813,75,314,张学武,先生,49,盐津铺子,食品制造
813,75,88,钟怀军家族,先生,59,紫燕食品,食品
813,75,-18,周国辉,先生,58,怡亚通,供应链
813,75,-18,周伟健,先生,未知,美涂士,墙面保护装饰
813,75,-340,宗艳民,先生,59,天岳先进,半导体材料
859,74,106,许达来,先生,52,小米,智能硬件与技术、投资
861,73,116,陈慧慧,女士,64,南丰,房地产
861,73,247,丹宏家族,先生,未知,五得利,面粉
861,73,-198,丁水波,先生,53,特步,体育用品
861,73,266,董增平,先生,53,思源电气,输配电设备
861,73,40,何亚民家族,先生,66,利君股份,机械制造
861,73,-118,何祖训,先生,58,神农集团,畜牧
861,73,116,洪水树家族,先生,64,可成科技,设备制造
861,73,189,李俊田,先生,48,汇川技术,工业自动化产品
861,73,40,罗康瑞家族,先生,75,瑞安,房地产
861,73,-66,吕培榕,先生,64,大帝,投资、房地产、服装
861,73,189,吕义雄,先生,46,上美,化妆品
861,73,-74,彭永东,先生,44,贝壳,房地产服务
861,73,93,邱建林,先生,60,恒逸,化纤
861,73,93,邱祥娟,先生,未知,恒逸,化纤
861,73,93,邱奕博,先生,36,恒逸,化纤
861,73,-66,石克荣,先生,66,汇福,食品
861,73,-17,孙洪军,先生,50,艾为电子,芯片
861,73,40,吴崇仪,先生,64,至兴,汽车零部件
861,73,111,吴昕阳家族,先生,未知,新光三越,房地产
861,73,40,杨受成家族,先生,79,英皇,房地产
861,73,-323,杨文龙家族,先生,61,仁和药业,医药
861,73,40,杨钊家族,先生,76,旭日企业,服装、房地产
861,73,New ~,姚文琛家族,先生,72,姚记扑克,文娱
861,73,-388,姚雄杰,先生,未知,盛屯,锂电新能源材料
861,73,-118,张波,先生,未知,美团,生活服务
861,73,86,张德生家族,先生,74,万马电线电缆,电缆、房地产、医药
861,73,-66,张华,先生,未知,福华,农业、造纸、矿产
861,73,New ~,朱江明,先生,56,大华技术,软件、电子通讯产品
896,70,New ~,陈海波,先生,54,深兰科技,人工智能
896,70,-101,付胜龙家族,先生,61,大汉控股,钢材贸易、房地产
896,70,5,黄炳文家族,先生,69,东风印刷,印刷
896,70,-332,金鑫,先生,56,大金重工,钢结构产品
896,70,-358,李林,先生,41,火币,区块链
896,70,-275,李强,先生,未知,百雀羚,化妆品
896,70,-275,李思廉,先生,66,富力地产,房地产
896,70,-587,林宏修家族,先生,72,融侨,房地产
896,70,-153,刘明辉,先生,60,中国燃气,能源
896,70,-153,彭军,先生,未知,小马智行,自动驾驶技术
896,70,New ~,彭骞,先生,49,精测电子,仪表
896,70,-193,孙伟杰,先生,60,杰瑞石油,石油专用设备
896,70,-52,王文城家族,先生,未知,大中,石材、房地产
896,70,-306,王忆会,先生,未知,嘉华东方,投资
896,70,154,姚其湧,先生,59,宏兆,投资
896,70,5,袁菁,先生,43,沐瞳科技,游戏
896,70,81,张晖,先生,45,满帮,运输
896,70,231,赵满堂家族,先生,63,盛达,矿业、酒店
896,70,-358,钟声坚,先生,65,仁恒,房地产
924,68,-504,夏崇耀家族,先生,64,东方电缆,电缆
924,68,188,杨元庆,先生,59,联想,计算机服务、投资
924,68,-80,赵凯,先生,未知,成都环球世纪,房地产
928,67,102,乔玉华,先生,57,双欣,煤炭、热电、化工
928,67,-133,张曦,先生,49,国瓷材料,陶瓷
930,66,New ~,丁锋,先生,57,星星充电,充电桩
930,66,47,李玉国家族,先生,64,九台,投资、房地产
930,66,88,卢成,先生,未知,农夫山泉,饮料
930,66,88,卢晓芙,先生,未知,农夫山泉,饮料
930,66,88,卢晓苇,先生,未知,农夫山泉,饮料
930,66,New ~,邵丹薇,女士,41,星星充电,充电桩
930,66,88,钟晓晓,先生,未知,农夫山泉,饮料
940,65,New ~,蔡海山家族,先生,45,联邦制药,医药
940,65,37,蔡荣军,先生,51,欧菲光,光电子元器件
940,65,-96,陈保华,先生,61,华海药业,医药
940,65,-96,陈奇星,先生,64,长盈精密,电子元件
940,65,-319,陈银河家族,先生,49,密尔克卫,化工供应链服务
940,65,281,程维,先生,40,滴滴出行,生活服务平台
940,65,7,戴珊,先生,47,阿里系,电子商务、金融科技
940,65,37,邓耀升,先生,37,升域,房地产
940,65,-46,辜侯天仪家族,先生,未知,台泥,水泥
940,65,110,江淦钧,先生,59,索菲亚,家具
940,65,37,江黎明,先生,未知,利泰,汽车经销
940,65,-39,梁耀铭,先生,59,金域医学,医学检测及病理诊断
940,65,78,廖杰远,先生,未知,微医,医疗服务
940,65,37,林集永,先生,53,慕思,床垫
940,65,37,欧亚平,先生,61,百仕达,天然气、房地产
940,65,187,佘英杰,先生,66,新豪国际,电子设备制造
940,65,281,施崇棠,先生,71,华硕,电脑产品
940,65,New ~,束崇万家族,先生,69,创见信息,半导体
940,65,-39,苏如春家族,先生,55,华邦,房地产、建筑、投资
940,65,37,王炳坤,先生,51,慕思,床垫
940,65,281,王硕,先生,33,Deel,企业服务
940,65,37,吴惠芳,先生,未知,永钢,钢铁
940,65,25,吴永华,先生,53,安踏,体育用品
940,65,7,吴泳铭,先生,48,阿里系,电子商务、金融科技
940,65,187,谢可滔,先生,59,中教,教育
940,65,-237,徐炳忠家族,先生,49,海伦司,连锁酒馆
940,65,-402,叶帆家族,先生,51,美东汽车,汽车经销
940,65,187,于果,先生,61,中教,教育
940,65,-145,余海军,先生,49,宝利德,汽车销售
940,65,New ~,张步镇,先生,48,药师帮,医疗服务
940,65,New ~,张建成,先生,64,爱柯迪,汽车零配件
940,65,-39,张利钿家族,先生,59,雅士利,乳业
940,65,-197,张俏英家族,先生,67,力劲科技,机械制造
940,65,37,周骏,先生,未知,景田,饮料
940,65,New ~,朱田中家族,先生,58,灿勤科技,电子元器件
940,65,-145,朱兴良,先生,64,金螳螂,建筑
987,64,51,袁金华,先生,64,三一,重型机械
987,64,-22,张勇,先生,未知,阿里系,电子商务、金融科技
987,64,-143,赵曰岭家族,先生,71,金岭,化工
991,63,121,耿殿根,先生,67,光环新网,电信运营
991,63,136,刘迎新,先生,53,汇川技术,工业自动化产品
991,63,New ~,刘永亮,先生,57,沧港铁路,铁路运输
991,63,-44,寿柏年,先生,61,绿城服务,物业管理
991,63,39,苏增福家族,先生,83,苏泊尔,厨具、投资
991,63,-19,童文红,先生,53,阿里系,电子商务、金融科技
991,63,-91,万永兴,先生,52,中瑞,煤炭供应链管理、房地产
991,63,New ~,张伟,先生,66,热威股份,热电元件
999,62,-296,安治富家族,先生,77,富临,房地产、运输
999,62,212,曹积生,先生,63,益生股份,养殖、饲料
999,62,-98,赖国贵家族,先生,59,春风控股集团,摩托车
999,62,222,李振江家族,先生,66,神威,医药
999,62,-34,陶春风,先生,56,长鸿高科,高分子材料
999,62,New ~,王进,先生,51,同花顺,软件
1005,61,-51,赵魁,先生,63,鄂尔多斯,羊绒、煤电、冶金、房地产
1008,60,42,Allan Warburg,先生,57,绫致时装,服装零售
1008,60,42,Dan Friis丹飞,先生,54,绫致时装,服装零售
1008,60,-213,艾立华家族,先生,65,艾华,电容器制造
1008,60,New ~,鲍洪星,先生,59,双胞胎,畜牧
1008,60,-107,陈睿,先生,45,哔哩哔哩,视频弹幕网站
1008,60,-107,陈雪玲,先生,56,晨光,文具用品制造
1008,60,-444,陈幼兴,先生,62,斯达半导,半导体
1008,60,-107,陈卓贤家族,先生,56,雅居乐,房地产
1008,60,213,代田田,先生,40,柏楚电子,信息技术
1008,60,-107,丁佐宏,先生,61,月星,房地产、零售、制造
1008,60,-164,冯小华,先生,67,洋浦南华糖业,制糖业
1008,60,115,郭春萱,先生,77,瑞丰新材,化工
1008,60,-43,韩真发,先生,70,正业,地产、投资、农业
1008,60,119,黄健,先生,56,美的,家电制造
1008,60,New ~,黄康境家族,先生,61,绿景,房地产
1008,60,42,黄婉茹,先生,未知,联泰,基础建设、房地产
1008,60,-535,纪海鹏家族,先生,56,龙光地产,房地产
1008,60,10,贾国龙,先生,56,西贝,餐饮
1008,60,213,柯磊,先生,38,科博达,汽车电子产品
1008,60,-164,黎经华,先生,61,罗浮宫家居,家具零售
1008,60,-164,李立新,先生,56,利时,塑胶产品、商业连锁、投资
1008,60,-164,李瑞强,先生,44,诺禾致源,基因组学解决方案
1008,60,-31,李咏怡家族,女士,未知,粤丰环保,环保
1008,60,-551,李志刚,先生,47,帝尔激光,设备制造
1008,60,119,林启彬家族,先生,70,英利汽车,汽车零配件
1008,60,-164,楼天城,先生,未知,小马智行,自动驾驶技术
1008,60,-219,卢荣富,先生,52,亿联网络,通信
1008,60,New ~,罗乐风家族,先生,未知,晶苑国际,服装
1008,60,42,吕大龙,先生,未知,韦尔股份,半导体
1008,60,213,唐柱学,先生,48,汇川技术,工业自动化产品
1008,60,-107,王刚,先生,47,满帮,物流
1008,60,42,王俊,先生,47,碳云、华大基因,医疗大数据、基因检测
1008,60,-164,温纯青,先生,52,大百汇,烟草、房地产、白酒
1008,60,213,吴亦圭家族,先生,71,台聚,化工
1008,60,-43,谢识才家族,先生,62,博威合金,合金材料
1008,60,-164,姚劲波,先生,47,58同城,生活服务
1008,60,-164,姚良柏,先生,54,欧派家居,橱柜
1008,60,42,尤金焕,先生,未知,华峰,化工、铝业、投资
1008,60,104,张果喜,先生,71,果喜,玉矿、木雕、地产
1008,60,-107,章方良家族,先生,59,金斯瑞,生物科技
1008,60,-43,赵玉乔家族,先生,未知,九江,钢铁、酒店
1008,60,42,甄荣辉,先生,61,51job,互联网服务
1008,60,-31,郑元豹,先生,65,人民电器,工业电器、房地产、投资
1008,60,New ~,周俊杰,先生,55,银都股份,餐饮设备
1062,59,130,傅梅城,先生,66,华策影视,影视传媒
1062,59,New ~,黄必亮,先生,52,杰华特,半导体
1068,58,59,李红京,先生,55,道通科技,汽车智能诊断设备
1068,58,44,林志雄,先生,50,大博医疗,医疗器械
1068,58,59,刘海燕,先生,未知,大陆希望,机械电气、能源化工、房地产
1068,58,59,谢剑辉,先生,未知,富兴,汽车服务，产业园区
1073,57,-181,曹国伟,先生,58,微博,传媒娱乐
1073,57,-229,胡成中,先生,62,德力西,工业电器、房地产
1073,57,119,胡季强,先生,62,康恩贝,医药
1073,57,New ~,林伯实家族,先生,78,台玻,建筑玻璃
1073,57,-172,林海峰,先生,48,东方日升,太阳能
1073,57,-23,孙永根,先生,52,天圣控股,化纤
1073,57,-27,文剑平,先生,61,碧水源,污水处理
1080,56,-30,韩国龙家族,先生,68,冠城大通,房地产、手表
1080,56,New ~,侯春来家族,先生,54,中国春来,教育
1080,56,New ~,李红兵,先生,57,养元饮品,饮料
1080,56,New ~,刘姗姗,女士,未知,摩尔线程,半导体
1080,56,New ~,孙成思,先生,35,佰维存储,半导体
1080,56,19,涂建华,先生,54,广联达,软件与信息服务
1080,56,New ~,杨云春,先生,54,赛微电子,MEMS芯片
1080,56,131,郑树生,先生,57,迪普科技,软件开发
1090,55,New ~,曾繁城,先生,未知,台积电,半导体
1090,55,-113,陈妙林,先生,71,开元旅业,房地产
1090,55,New ~,陈寅,先生,50,格力博,农用机械
1090,55,-40,陈智胜,先生,50,药明生物,生物医药
1090,55,131,戴震,先生,45,能链,充电服务
1090,55,New ~,范召林,先生,51,养元饮品,饮料
1090,55,New ~,胡宇航,先生,47,三七互娱,网络游戏
1090,55,37,黄伟常家族,先生,72,六福,零售
