排名1,财富值_人民币/亿元,排名变化,个人信息3,性别,年龄,公司名称,所在行业
137,350,453,罗宇皓,先生,36,米哈游,游戏
137,350,-44,赵燕家族,女士,56,华熙国际,生物医药、房地产
140,345,129,蔡明兴家族,先生,66,富邦,金融服务
140,345,39,林斌,先生,55,小米,智能硬件与技术
140,345,111,吴向东,先生,53,华泽,酒业、投资
140,345,9,张宏伟,先生,69,东方,能源、零售
144,340,-18,郭广昌,先生,56,复星,投资
144,340,-30,项光达,先生,65,青山控股,钢铁
146,335,-17,张志祥,先生,56,建龙,钢铁、矿业、船运
148,330,180,易峥,先生,53,同花顺,软件
148,330,-8,张道才家族,先生,73,三花控股,工业设备、汽车零部件、房地产
150,325,36,蔡宏图家族,先生,71,霖园,金融服务
150,325,9,郭炳联家族,先生,71,新鸿基,房地产
150,325,9,郭基辉家族,先生,40,新鸿基,房地产
150,325,-77,蒋卫平家族,先生,68,天齐锂业,锂矿
150,325,-52,孙寿宽,先生,74,嘉晨,钢铁、耐火材料、煤化工
155,320,132,蔡明忠家族,先生,67,富邦,金融服务
155,320,-10,陈金霞,女士,55,涌金投资,医药、投资
155,320,57,江南春,先生,50,分众传媒,数字新媒体、投资
159,315,4,林张素娥家族,先生,未知,联邦,房地产、金融
159,315,-49,孙广信,先生,61,广汇,汽车销售、能源、房地产
159,315,48,谢华,先生,未知,飞塔,网路安全
162,310,-29,高德康家族,先生,71,波司登,服装
162,310,-22,梁庆德家族,先生,86,格兰仕,家电
165,305,37,何超琼,女士,61,信德、美高梅中国,博彩
165,305,-14,霍斯特·帕德威尔家族,先生,78,创科实业,消费品
167,300,40,蔡政达家族,先生,未知,霖园,金融服务
167,300,12,董建成家族,先生,80,东方海外,运输
170,295,9,赵涛家族,先生,57,步长,医药
171,290,-6,王文京,先生,59,用友,软件与信息服务
171,290,15,周建平家族,先生,62,海澜,服装、投资
174,285,-5,李丐腾家族,先生,51,飞科电器,小家电
174,285,38,米恩华,先生,65,华凌工贸,地产、畜牧
