姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
马云,先生,54,中国-浙江-杭州,本科,阿里系,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务、金融科技,1,2,2700.0,35%
许家印,先生,60,中国-河南-周口,硕士,恒大,中国-广东-广州,China-Guangdong-Guangzhou,房地产、投资,2,-1,2500.0,-14%
马化腾,先生,47,中国-海南,本科,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,互联网服务,3,-1,2400.0,-4%
杨惠妍,女士,37,中国-广东-佛山,本科,碧桂园,中国-广东-佛山,China-Guangdong-Foshan,房地产,4,0,1500.0,-6%
王健林,先生,64,中国-四川-绵阳,本科,万达,中国-北京,China-Beijing,房地产、文化,5,0,1400.0,-10%
何享健,先生,76,中国-广东-佛山, ,美的,中国-广东-佛山,China-Guangdong-Foshan,家电制造,6,2,1300.0,13%
王卫,先生,48,中国-上海, ,顺丰,中国-香港,China-Hong Kong,快递,7,-1,1200.0,-20%
严昊,先生,32,中国-江苏-淮安,本科,太平洋建设,中国-江苏-南京,China-Jiangsu-Nanjing,基础建设,7,1,1200.0,4%
李彦宏,先生,50,中国-山西-阳泉,硕士,百度,中国-北京,China-Beijing,搜索引擎,9,-2,1150.0,-8%
雷军,先生,49,中国-湖北-仙桃,本科,小米,中国-北京,China-Beijing,智能硬件、投资,10,12,1100.0,62%
王文银,先生,50,中国-安徽-安庆,本科,正威,中国-广东-深圳、新加坡,China-Guangdong-Shenzhen、Singapore,有色金属,10,7,1100.0,38%
姚振华,先生,48,中国-广东-汕头,本科,宝能,中国-广东-深圳,China-Guangdong-Shenzhen,投资、房地产,12,2,1000.0,5%
黄峥,先生,38,中国-浙江-杭州,硕士,拼多多,中国-上海,China-Shanghai,购物网站,13,new,950.0,new
张近东,先生,55,中国-江苏-南京,本科,苏宁,中国-江苏-南京,China-Jiangsu-Nanjing,零售、房地产,13,2,950.0,2%
张志东,先生,46,中国-广东-东莞,硕士,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,互联网服务,13,-1,950.0,-5%
丁磊,先生,47,中国-浙江-宁波,本科,网易,中国-浙江-杭州,China-Zhejiang-Hangzhou,互联网技术,16,-6,900.0,-18%
李书福,先生,55,中国-浙江-台州,博士,吉利,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造,16,-6,900.0,-18%
宗庆后,先生,73,中国-江苏-宿迁, ,娃哈哈,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料,16,-4,900.0,-10%
许荣茂,先生,68,中国-福建-泉州, ,世茂,中国-香港,China-Hong Kong,房地产,19,14,850.0,56%
孙飘扬,先生,60,中国-江苏-镇江,硕士,恒瑞制药、豪森制药,中国-江苏-连云港,China-Jiangsu-Lianyungang,医药,20,7,825.0,40%
卢志强,先生,66,中国-山东-威海,硕士,泛海,中国-北京,China-Beijing,金融、房地产,21,-5,800.0,-7%
陈建华,先生,47,中国-江苏-苏州,硕士,恒力,中国-江苏-苏州,China-Jiangsu-Suzhou,化纤、石化、房地产,22,18,790.0,70%
严彬,先生,64,中国-山东-莱州, ,华彬,中国-北京,China-Beijing,饮料、地产,23,-5,780.0,4%
