姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
许家印,先生,59,中国-河南-周口,硕士,中国恒大,中国-广东-深圳,China-Guangdong-Shenzhen,房地产、投资,1,9,2900.0,272%
马化腾,先生,46,中国-海南,本科,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,IT、娱乐,2,1,2500.0,52%
马云,先生,53,中国-浙江-杭州,本科,阿里系,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务、互联网金融,3,-1,2000.0,-2%
杨惠妍,女士,36,中国-广东-佛山,本科,碧桂园,中国-广东-佛山,China-Guangdong-Foshan,房地产,4,18,1600.0,230%
王健林,先生,63,中国-四川-绵阳,本科,万达,中国-北京,China-Beijing,房地产、文化,5,-4,1550.0,-28%
王卫,先生,47,中国-上海, ,顺丰,中国-香港,China-Hong Kong,快递,6,new,1500.0,new
李彦宏,先生,49,中国-山西-阳泉,硕士,百度,中国-北京,China-Beijing,搜索引擎,7,1,1250.0,28%
何享健,先生,75,中国-广东-佛山, ,美的,中国-广东-佛山,China-Guangdong-Foshan,家电制造,8,2,1150.0,47%
严昊,先生,31,中国-江苏-淮安,本科,苏太华系,中国-江苏-南京,China-Jiangsu-Nanjing,基础建设,8,-2,1150.0,15%
丁磊,先生,46,中国-浙江-宁波,本科,网易,中国-浙江-杭州,China-Zhejiang-Hangzhou,IT、娱乐,10,-4,1100.0,10%
李书福,先生,54,中国-浙江-台州,博士,吉利,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造,10,40,1100.0,261%
张志东,先生,45,中国-广东-东莞,硕士,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,IT、娱乐,12,5,1000.0,79%
宗庆后,先生,72,中国-江苏-宿迁, ,娃哈哈,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料,12,-7,1000.0,-11%
姚振华,先生,47,中国-广东-汕头,本科,宝能,中国-广东-深圳,China-Guangdong-Shenzhen,投资、房地产,14,-10,950.0,-17%
张近东,先生,54,中国-江苏-南京,本科,苏宁,中国-江苏-南京,China-Jiangsu-Nanjing,零售、房地产,15,-5,930.0,19%
卢志强,先生,65,中国-山东-威海,硕士,泛海,中国-北京,China-Beijing,金融、房地产,16,-7,860.0,1%
王文银,先生,49,中国-安徽-安庆,本科,正威,中国-广东-深圳、新加坡,China-Guangdong-Shenzhen、Singapore,有色金属、半导体,17,-3,800.0,23%
严彬,先生,63,中国-山东-莱州, ,华彬,中国-北京,China-Beijing,饮料、地产,18,-8,750.0,-4%
孙宏斌,先生,54,中国-山西-运城,硕士,融创,中国-天津,China-Tianjin,房地产,19,327,720.0,658%
周群飞,女士,47,中国-湖南-湘潭, ,蓝思科技,中国-湖南-长沙,China-Hunan-Changsha,电子器件制造,20,5,715.0,55%
刘强东,先生,43,中国-江苏-宿迁,本科,京东,中国-北京,China-Beijing,电子商务,21,5,700.0,54%
雷军,先生,48,中国-湖北-仙桃,本科,小米,中国-北京,China-Beijing,手机制造、投资,22,-8,680.0,5%
张士平,先生,未知,中国-山东-滨州, ,魏桥创业,中国-山东-滨州,China-Shandong-Binzhou,纺织、铝业,23,-7,655.0,7%
龚虹嘉,先生,52,,本科,海康威视,中国-香港,China-Hong Kong,视频监控产品,24,15,650.0,81%
郭广昌,先生,50,中国-浙江-金华,硕士,复星,中国-上海,China-Shanghai,投资,25,3,625.0,40%
史玉柱,先生,55,中国-安徽-蚌阜,本科,巨人,中国-上海,China-Shanghai,金融、在线游戏、投资,26,-7,610.0,13%
孙飘扬,先生,59,中国-江苏-镇江,硕士,恒瑞制药、豪森制药,中国-江苏-连云港,China-Jiangsu-Lianyungang,医药,27,1,590.0,33%
王清涛,先生,55,中国-山东-滨州,硕士,中融新大,中国-山东-青岛,China-Shandong-Qingdao,煤焦,28,75,575.0,167%
王文学,先生,50,中国-河北-廊坊, ,华夏幸福,中国-河北,China-Hebei,房地产,28,-6,575.0,19%
刘永行,先生,69,中国-四川-成都,博士,东方希望,中国-上海,China-Shanghai,氧化铝、重化工、饲料,30,-6,570.0,21%
吴亚军,女士,53,中国-重庆,本科,龙湖,中国-重庆,China-Chongqing,房地产,30,16,570.0,73%
许世辉,先生,60,中国-福建-泉州, ,达利食品,中国-福建-泉州,China-Fujian-Quanzhou,食品,32,-5,560.0,24%
许荣茂,先生,67,中国-福建-泉州, ,世茂,中国-香港,China-Hong Kong,房地产,33,-12,545.0,9%
潘政民,先生,50,中国-江苏,本科,瑞声科技,中国-广东-深圳,China-Guangdong-Shenzhen,声学科技,34,4,540.0,48%
王玉锁,先生,53,中国-河北-廊坊,硕士,新奥,中国-河北-廊坊,China-Hebei-Langfang,天然气、能源化工,34,3,540.0,46%
陈丽华,女士,76,中国-北京,博士,富华,中国-北京,China-Beijing,房地产、紫檀博物馆,36,-16,505.0,0%
鲁冠球,先生,72,,,万向,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造业、房地产、农业,37,-19,490.0,-11%
方威,先生,44,中国-辽宁-沈阳, ,方大,中国-北京,China-Beijing,碳素、钢铁、煤焦,38,15,485.0,62%
袁亚非,先生,53,,,三胞,中国-江苏-南京,China-Jiangsu-Nanjing,IT连锁、房地产、投资,39,-7,470.0,18%
陈建华,先生,46,中国-江苏-苏州,硕士,恒力,中国-江苏-苏州,China-Jiangsu-Suzhou,化纤、石化、房地产,40,17,465.0,60%
陈东升,先生,60,中国-湖北-荆门,博士,泰康,中国-北京,China-Beijing,保险,41,25,450.0,73%
张茵,女士,60,中国-广东-韶关,本科,玖龙纸业,中国-广东-东莞,China-Guangdong-Dongguan,环保造纸,41,8,450.0,45%
刘益谦,先生,54,中国-上海, ,新理益,中国-上海,China-Shanghai,投资,43,1,430.0,25%
刘永好,先生,66,中国-四川-成都, ,新希望,中国-四川-成都,China-Sichuan-Chengdu,农业、化工、金融,44,-14,425.0,0%
孙广信,先生,55,中国-新疆-乌鲁木齐,硕士,广汇,中国-新疆-乌鲁木齐,China-Xinjiang-Urumqi,汽车销售、能源、房地产,45,0,420.0,24%
李金元,先生,59,中国-河北-沧州, ,天狮,中国-天津,China-Tianjin,保健品,46,-14,405.0,1%
马兴田,先生,48,中国-广东-揭阳, ,康美药业,中国-广东-揭阳,China-Guangdong-Jieyang,医药,46,0,405.0,23%
李河君,先生,50,中国-广东-河源,博士,汉能,中国-北京,China-Beijing,太阳能、风电、水电,48,-16,400.0,0%
彭蕾,先生,46,, ,阿里系,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务、互联网金融,48,298,400.0,321%
张邦鑫,先生,37,中国-江苏,硕士,好未来,中国-北京,China-Beijing,教育,48,165,400.0,208%
周建平,先生,56,中国-江苏-无锡, ,海澜,中国-江苏-无锡,China-Jiangsu-Wuxi,服装、投资,48,-7,400.0,13%
魏建军,先生,53,中国-河北-保定, ,长城,中国-河北-保定,China-Hebei-Baoding,汽车,52,-16,390.0,-1%
阎志,先生,45,中国-湖北-黄冈,硕士,卓尔,中国-湖北-武汉,China-Hubei-Wuhan,房地产、投资,53,-3,385.0,26%
聂腾云,先生,41,, ,韵达,中国-上海,China-Shanghai,物流,54,133,370.0,155%
汪滔,先生,37,中国-浙江-杭州,本科,大疆创新,中国-广东-深圳,China-Guangdong-Shenzhen,无人飞机,55,22,360.0,50%
林立,先生,54,中国-广东-河源,硕士,立业,中国-广东-深圳,China-Guangdong-Shenzhen,金融、投资,56,59,350.0,75%
熊续强,先生,未知,中国-浙江,,银亿,中国-浙江-宁波,China-Zhejiang-Ningbo,房地产、矿业、投资,56,17,350.0,40%
徐镜人,先生,73,中国-江苏-泰州, ,扬子江药业,中国-江苏-泰州,China-Jiangsu-Taizhou,医药,56,1,350.0,21%
于泳,先生,未知,, ,鸿商产业,中国-上海,China-Shanghai,钼矿,56,33,350.0,56%
林秀成,先生,62,中国-福建-泉州, ,三安,中国-福建-厦门,China-Fujian-Xiamen,LED,60,17,345.0,44%
蔡奎,先生,56,中国-四川-资阳,本科,龙湖,中国-重庆,China-Chongqing,房地产,61,34,340.0,55%
傅利泉,先生,50,中国-浙江-杭州, ,大华技术,中国-浙江-杭州,China-Zhejiang-Hangzhou,软件开发、电子及通讯产品,61,47,340.0,62%
解直锟,先生,56,中国-黑龙江,本科,中植,中国-北京,China-Beijing,金融、投资,61,71,340.0,89%
林亿,先生,未知,中国-福建-平潭, ,升龙,中国-上海,China-Shanghai,房地产,61,20,340.0,48%
吕向阳,先生,54,中国-安徽-芜湖, ,融捷投资,中国-广东-广州,China-Guangdong-Guangzhou,投资,65,-26,330.0,-8%
赵步长,先生,51,,,步长,中国-北京,China-Beijing,医药,65,-12,330.0,10%
周晓光,先生,55,,,新光控股,中国-浙江-金华,China-Zhejiang-Jinhua,饰品、房地产、投资,65,-12,330.0,10%
庞康,先生,61,中国-广东-佛山,本科,海天味业,中国-广东-佛山,China-Guangdong-Foshan,食品,68,3,325.0,27%
朱孟依,先生,58,中国-广东-梅州, ,合生创展,中国-广东-广州,China-Guangdong-Guangzhou,房地产、投资,69,-8,320.0,14%
陈发树,先生,56,中国-福建-泉州, ,新华都,中国-福建-福州,China-Fujian-Fuzhou,零售、矿、投资,70,9,315.0,34%
马建荣,先生,52,中国-浙江, ,申洲针织,中国-浙江-宁波,China-Zhejiang-Ningbo,纺织、服装,70,1,315.0,24%
喻会蛟,先生,51,,本科,圆通速递,中国-上海,China-Shanghai,快递,70,125,315.0,125%
张峻,先生,未知,中国-广东-揭阳, ,富德,中国-广东-深圳,China-Guangdong-Shenzhen,金融、房地产,70,-17,315.0,5%
姜滨,先生,51,中国-山东-威海,本科,歌尔声学,中国-山东-潍坊,China-Shandong-Weifang,声学及多媒体产品,74,38,305.0,49%
陈红天,先生,58,中国-广东-佛山,博士,祥祺,中国-广东-深圳、中国-上海,China-Guangdong-Shenzhen、China-Shanghai,投资、房地产,75,6,300.0,30%
江南春,先生,44,中国-上海,本科,分众传媒,中国-上海,China-Shanghai,数字新媒体、投资,75,-32,300.0,-14%
沈国军,先生,55,中国-浙江-宁波,硕士,银泰,中国-北京,China-Beijing,零售、房地产、物流,75,57,300.0,67%
王传福,先生,51,中国-安徽-芜湖,本科,比亚迪,中国-广东-深圳,China-Guangdong-Shenzhen,汽车、手机零部件、充电电池,75,-34,300.0,-15%
肖建华,先生,46,中国-山东-泰安,本科,明天,中国-香港,China-Hong Kong,金融、投资,75,-43,300.0,-33%
张劲,先生,46,中国-广东-广州,硕士,雪松控股,中国-广东-广州,China-Guangdong-Guangzhou,投资、房地产,75,6,300.0,30%
纪海鹏,先生,50,中国-广东-汕头, ,龙光地产,中国-广东-深圳,China-Guangdong-Shenzhen,房地产,81,124,295.0,119%
宋作文,先生,70,中国-山东-烟台, ,南山,中国-山东-烟台,China-Shandong-Yantai,铝业、纺织、房地产,81,-20,295.0,5%
姚良松,先生,53,中国-江西-景德镇,本科,欧派家居,中国-广东-广州,China-Guangdong-Guangzhou,橱柜,83,new,290.0,new
张一鸣,先生,34,中国-福建-龙岩,本科,今日头条,中国-北京,China-Beijing,推荐引擎,83,1820,290.0,1350%
车建兴,先生,51,中国-江苏-常州, ,红星美凯龙,中国-上海,China-Shanghai,家具连锁,85,-25,285.0,0%
黄伟,先生,58,中国-浙江-温州,本科,新湖,中国-浙江-杭州,China-Zhejiang-Hangzhou,房地产、金融,85,-28,285.0,-2%
李兆廷,先生,52,,本科,东旭,中国-北京,China-Beijing,光电显示、光伏,87,64,280.0,65%
刘汉元,先生,53,中国-四川-眉山,,通威,中国-四川-成都,China-Sichuan-Chengdu,农业、新能源,87,40,280.0,51%
孙喜双,先生,64,中国-吉林, ,一方,中国-辽宁-大连,China-Liaoning-Dalian,房地产、投资,87,-37,280.0,-8%
黄其森,先生,52,中国-福建,本科,泰禾,中国-福建-福州,China-Fujian-Fuzhou,房地产、金融、医疗,91,56,275.0,57%
蒋卫平,先生,62,中国-四川-成都,本科,天齐,中国-四川-遂宁,China-Sichuan-Suining,矿,91,79,275.0,67%
陈金霞,女士,49,中国-上海,硕士,涌金投资,中国-上海,China-Shanghai,医药、投资,93,28,270.0,42%
陈天桥,先生,44,中国-浙江-绍兴,本科,盛大,中国-上海,China-Shanghai,投资、在线游戏,93,-12,270.0,17%
高天国,先生,66,, ,国之杰,中国-上海,China-Shanghai,投资,93,65,270.0,69%
欧宗荣,先生,53,中国-福建-莆田, ,正荣,中国-上海,China-Shanghai,房地产,93,2,270.0,23%
陈爱莲,先生,59,中国-浙江-绍兴, ,万丰,中国-浙江-绍兴,China-Zhejiang-Shaoxing,智能制造、投资,97,35,265.0,47%
杜江涛,先生,48,中国-内蒙古-乌海,本科,君正,中国-内蒙古-乌海,China-Inner Mongolia-Wuhai,煤化工、热电、矿,97,6,265.0,23%
傅军,先生,60,中国-湖南-株洲,本科,新华联,中国-北京,China-Beijing,房地产、矿业、投资,97,18,265.0,33%
耿建明,先生,55,中国-江苏-南京,博士,荣盛,中国-河北-廊坊,China-Hebei-Langfang,房地产,97,-22,265.0,8%
何巧女,先生,51,中国-浙江-金华,本科,东方园林,中国-北京,China-Beijing,园林,97,22,265.0,36%
姜照柏,先生,54,中国-江苏-南通, ,鹏欣,中国-上海,China-Shanghai,乳业、房地产、投资,97,-34,265.0,-2%
缪寿良,先生,62,中国-广东, ,富源,中国-广东-深圳,China-Guangdong-Shenzhen,房地产、水电、新能源,97,-16,265.0,15%
王麒诚,先生,37,中国-浙江-杭州,本科,汉鼎宇佑,中国-浙江-杭州,China-Zhejiang-Hangzhou,数字城市、移动互联、文化传媒、金融控股、资产管理,97,-22,265.0,8%
王兴,先生,38,中国-福建-龙岩,本科,新美大,中国-北京,China-Beijing,IT、生活服务,97,61,265.0,66%
季昌群,先生,未知,中国-安徽-马鞍山,,丰盛控股,中国-江苏-南京,China-Jiangsu-Nanjing,房地产,106,new,260.0,new
张刚,先生,36,中国-山东-聊城,硕士,信发铝电,中国-山东-聊城,China-Shandong-Liaocheng,电解铝、氧化铝,106,1190,260.0,713%
梁稳根,先生,61,中国-湖南-娄底,本科,三一,中国-湖南-长沙,China-Hunan-Changsha,重型机械,108,-60,255.0,-20%
秦英林,先生,52,中国-河南-南阳,本科,牧原,中国-河南-南阳,China-Henan-Nanyang,畜牧,108,19,255.0,38%
叶澄海,先生,74,中国-广东-梅州,硕士,信立泰,中国-广东-深圳,China-Guangdong-Shenzhen,医药,108,-19,255.0,13%
曹龙祥,先生,60,, ,济川控股,中国-江苏-泰兴,China-Jiangsu-Taixing,医药,111,21,250.0,39%
李华,先生,51,中国-四川,本科,卓越,中国-广东-深圳,China-Guangdong-Shenzhen,房地产,111,10,250.0,32%
