姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
王健林,先生,59,中国-四川-绵阳,本科,万达,中国-北京,China-Beijing,房地产、文化,1,-1,1350.0,108%
宗庆后,先生,68,中国-江苏-宿迁, ,娃哈哈,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料,2,1,1150.0,44%
马化腾,先生,42,中国-海南,本科,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,IT、娱乐,3,-4,620.0,51%
魏建军,先生,49,中国-河北-保定, ,长城汽车,中国-河北-保定,China-Hebei-Baoding,汽车,4,-31,515.0,186%
杨惠妍,女士,32,中国-广东-佛山,本科,碧桂园,中国-广东-佛山,China-Guangdong-Foshan,房地产,5,-6,510.0,55%
李彦宏,先生,45,中国-山西-阳泉,硕士,百度,中国-北京,China-Beijing,搜索引擎,6,3,500.0,-2%
严彬,先生,59,中国-山东-莱州, ,华彬,中国-北京,China-Beijing,饮料、房地产,6,2,500.0,0%
许荣茂,先生,63,中国-福建-泉州, ,世茂,中国-上海,China-Shanghai,房地产、投资,8,-4,430.0,43%
张近东,先生,50,中国-江苏-南京,本科,苏宁云商,中国-江苏-南京,China-Jiangsu-Nanjing,家电零售、房地产,9,-12,395.0,68%
姜滨,先生,47,中国-山东-威海,本科,歌尔声学,中国-山东-潍坊,China-Shandong-Weifang,声学及多媒体产品,10,-19,375.0,88%
许家印,先生,55,中国-河南-周口,硕士,恒大,中国-广东-广州,China-Guangdong-Guangzhou,房地产、投资,10,1,375.0,7%
陈丽华,女士,72,中国-北京,博士,富华,中国-北京,China-Beijing,房地产,12,2,370.0,9%
刘永行,先生,65,中国-四川-成都,博士,东方希望,中国-上海,China-Shanghai,氧化铝、重化工、饲料,12,6,370.0,-18%
卢志强,先生,61,中国-山东-威海,硕士,泛海,中国-北京,China-Beijing,房地产、金融、投资,12,0,370.0,23%
梁稳根,先生,57,中国-湖南-娄底,本科,三一,中国-北京,China-Beijing,重型机械,15,10,365.0,-21%
何享健,先生,71,中国-广东-佛山, ,美的,中国-广东-佛山,China-Guangdong-Foshan,家电,16,-9,350.0,67%
刘永好,先生,62,中国-四川-成都, ,新希望,中国-四川-成都,China-Sichuan-Chengdu,农业、金融,17,3,340.0,21%
