姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
马云,先生,50,中国-浙江-杭州,本科,阿里巴巴,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务,1,28,1500.0,500%
王健林,先生,60,中国-四川-绵阳,本科,万达,中国-北京,China-Beijing,房地产、文化,2,-1,1450.0,7%
李河君,先生,47,中国-广东-河源,博士,汉能,中国-北京,China-Beijing,太阳能、风电、水电,3,80,1250.0,862%
宗庆后,先生,69,中国-江苏-宿迁, ,娃哈哈,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料,3,-1,1250.0,9%
马化腾,先生,43,中国-海南,本科,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,IT、娱乐,5,-2,1085.0,75%
李彦宏,先生,46,中国-山西-阳泉,硕士,百度,中国-北京,China-Beijing,搜索引擎,6,0,1050.0,110%
严介和,先生,54,中国-江苏-淮安,,苏太华系,中国-江苏-南京,China-Jiangsu-Nanjing,基础建设,7,40,850.0,372%
严彬,先生,60,中国-山东-莱州, ,华彬,中国-北京,China-Beijing,饮料、地产、投资,8,-2,600.0,20%
刘强东,先生,40,中国-江苏-宿迁,本科,京东,中国-北京,China-Beijing,电子商务,9,248,530.0,715%
雷军,先生,45,中国-湖北-仙桃,本科,小米科技,中国-北京,China-Beijing,手机制造、投资,10,53,450.0,181%
杨惠妍,女士,33,中国-广东-佛山,本科,碧桂园,中国-广东-佛山,China-Guangdong-Foshan,房地产,11,-6,440.0,-14%
张近东,先生,51,中国-江苏-南京,本科,苏宁云商,中国-江苏-南京,China-Jiangsu-Nanjing,家电零售、房地产,11,-2,440.0,11%
张士平,先生,未知,中国-山东-滨州, ,魏桥创业,中国-山东-滨州,China-Shandong-Binzhou,纺织、铝业,11,11,440.0,57%
王文银,先生,46,中国-安徽-安庆,本科,正威,中国-广东-深圳,China-Guangdong-Shenzhen,有色金属、半导体,14,5,430.0,43%
许家印,先生,56,中国-河南-周口,硕士,恒大,中国-广东-广州,China-Guangdong-Guangzhou,房地产、投资,15,-5,420.0,12%
何享健,先生,72,中国-广东-佛山, ,美的,中国-广东-佛山,China-Guangdong-Foshan,家电制造,16,0,410.0,17%
陈丽华,女士,73,中国-北京,博士,富华,中国-北京,China-Beijing,房地产、紫檀博物馆,17,-5,400.0,8%
许荣茂,先生,64,中国-福建-泉州, ,世茂,中国-上海,China-Shanghai,房地产,17,-9,400.0,-7%
鲁冠球,先生,69,,,万向,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造业、房地产、农业,19,-1,395.0,27%
刘永行,先生,66,中国-四川-成都,博士,东方希望,中国-上海,China-Shanghai,氧化铝、重化工、饲料,20,-8,380.0,3%
张志东,先生,42,中国-广东-东莞,硕士,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,IT、娱乐,21,16,375.0,79%
魏建军,先生,50,中国-河北-保定, ,长城汽车,中国-河北-保定,China-Hebei-Baoding,汽车,22,-18,370.0,-28%
丁磊,先生,43,中国-浙江-宁波,本科,网易,中国-广东-广州,China-Guangdong-Guangzhou,IT、娱乐,23,2,355.0,37%
李金元,先生,56,中国-河北-沧州, ,天狮,中国-天津,China-Tianjin,保健品,24,-3,350.0,21%
卢志强,先生,62,中国-山东-威海,硕士,泛海,中国-北京,China-Beijing,房地产、金融、投资,24,-12,350.0,-5%
吕向阳,先生,51,中国-安徽-芜湖, ,融捷投资,中国-广东-广州,China-Guangdong-Guangzhou,投资,26,13,315.0,58%
祝义财,先生,50,,,雨润,中国-江苏-南京,China-Jiangsu-Nanjing,食品、房地产、零售,26,-1,315.0,21%
王传福,先生,48,中国-安徽-芜湖,本科,比亚迪,中国-广东-深圳,China-Guangdong-Shenzhen,汽车、手机零部件、充电电池,28,9,310.0,48%
梁稳根,先生,58,中国-湖南-娄底,本科,三一,中国-北京,China-Beijing,重型机械,29,-14,300.0,-18%
刘永好,先生,63,中国-四川-成都, ,新希望,中国-四川-成都,China-Sichuan-Chengdu,农业、化工、金融,30,-13,290.0,-15%
张茵,女士,57,中国-广东-韶关,本科,玖龙纸业,中国-广东-东莞,China-Guangdong-Dongguan,造纸,30,-6,290.0,7%
郭广昌,先生,47,中国-浙江-金华,硕士,复星,中国-上海,China-Shanghai,投资、钢铁、医药,32,9,280.0,47%
王玉锁,先生,50,中国-河北-廊坊,硕士,新奥,中国-河北-廊坊,China-Hebei-Langfang,天然气、能源化工,32,-4,280.0,10%
周建平,先生,53,中国-江苏-无锡, ,海澜,中国-江苏-无锡,China-Jiangsu-Wuxi,服装、投资,32,119,280.0,195%
吴亚军,女士,50,中国-重庆,本科,龙湖,中国-北京,China-Beijing,房地产,35,-13,260.0,-7%
史玉柱,先生,52,中国-安徽-蚌阜,本科,巨人,中国-上海,China-Shanghai,金融、在线游戏,36,-4,245.0,7%
黄伟,先生,55,中国-浙江-温州,本科,新湖,中国-浙江-杭州,China-Zhejiang-Hangzhou,房地产、金融,37,7,240.0,30%
孙广信,先生,52,中国-新疆-乌鲁木齐,硕士,广汇,中国-新疆-乌鲁木齐,China-Xinjiang-Urumqi,房地产、汽车销售、能源,38,-19,235.0,-22%
姜滨,先生,48,中国-山东-威海,本科,歌尔声学,中国-山东-潍坊,China-Shandong-Weifang,声学及多媒体产品,39,-29,225.0,-40%
黄如论,先生,63,中国-福建-福州, ,世纪金源,中国-北京,China-Beijing,房地产,40,-6,220.0,0%
潘石屹,先生,51,中国-甘肃-天水, ,SOHO中国,中国-北京,China-Beijing,房地产,40,-8,220.0,-4%
王文学,先生,47,中国-河北-廊坊, ,华夏幸福,中国-北京,China-Beijing,房地产,40,4,220.0,19%
龚虹嘉,先生,49,,本科,海康威视,中国-浙江-杭州,China-Zhejiang-Hangzhou,视频监控产品,43,-12,215.0,-9%
姜照柏,先生,51,中国-江苏-南通, ,鹏欣,中国-上海,China-Shanghai,房地产、投资,43,75,215.0,95%
李书福,先生,51,中国-浙江-台州,博士,吉利控股,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造,43,20,215.0,34%
潘政民,先生,47,中国-江苏,本科,瑞声科技,中国-广东-深圳,China-Guangdong-Shenzhen,声学科技,43,4,215.0,19%
陈发树,先生,53,中国-福建-泉州, ,新华都,中国-福建-福州,China-Fujian-Fuzhou,零售、矿、投资,47,-22,205.0,-21%
